journalId,journalUrl,journalTitle,journalVolumeIds
j25,2baad992-2268-4c38-9120-e453622f2eeb,Journal of Medical Internet Research,jv25
j26,c0ded351-0e49-473e-816e-23b84c9f8dd3,Frontiers in Environmental Science,jv26
j27,d949c7f0-1213-4a16-a6ab-134862369b91,Journal of Library and Information Sciences,jv27
j28,ed4bb98c-600b-477e-9e9a-653127045ec0,CHANCE : New Directions for Statistics and Computing,jv28
j29,bf228014-e6ea-4397-96c9-3fd22beb2f75,British Journal of Educational Technology,jv29
j30,3fe65a3e-606b-4377-8de1-b3f779646e1e,"Annual review of political science (Palo Alto, Calif. Print)",jv30
j31,bc30f894-9a9c-440e-8420-7bd3c5624384,The Journal of the Learning Sciences,jv31
j32,93a7b6aa-3a96-4e75-a837-cbd3660e8a72,Geographical Analysis,jv32
j33,e4c9326f-17a0-48c8-85c6-2975945f4395,Journal of Biosciences,jv33
j34,fcbcaf18-8ab1-43e1-a973-604bbc7e344e,Proceedings of the VLDB Endowment,jv34
j35,5821d52f-e54a-4b02-981a-dd16fec9a115,TOP - An Official Journal of the Spanish Society of Statistics and Operations Research,jv35
j36,0aa85cdf-7469-400d-9553-a13cfaa44da5,Journal of Statistics Education,jv36
j37,4d9ce1c4-dc84-46b9-903e-e3751c00c7dd,Communications of the ACM,jv37
j38,4d899b46-b5c8-436e-8ce3-084673ea8905,Big Data & Society,jv38
j39,da1f558d-7744-4ce7-9b43-0a73f0057985,Journal of Library Administration,jv39
j40,75d7a8c1-d871-42db-a8e4-7cf5146fdb62,Social Science Research Network,jv40
j41,be8cc615-4b2c-482c-86de-1f75a442c83f,Journal of Physics: Condensed Matter,jv41
j42,94cf7e5d-ed99-4849-b9b9-17ed670f5e6e,Journal of Social Computing,jv42
j43,9cf634df-e30b-4e2a-aeb7-84a126ce8861,Chest,jv43
j44,abe20b62-4958-4cfc-a05f-b87f4051f1a9,BioScience,jv44
j45,329e28c6-84e0-4d75-a58e-ddac24c52d4e,International Journal of Population Data Science,jv45
j46,f1a44872-70ad-4c33-b8bb-8618e573cf3f,Computational Mechanics,jv46
j47,74527bdc-72cb-43a1-837d-5af4a24089b7,Environmental Modelling & Software,jv47
j48,b7e5a3b3-2519-4ca2-8870-c2b45ef76ab9,Nature Human Behaviour,jv48
j49,7b2adce0-d53f-49d6-8784-b0645604fe62,ACM Computing Surveys,jv49
j50,1ec361d9-6d57-4fd4-b0bd-c85044a7e1c3,"Science, Technology and Human Values",jv50
j51,fbed5c1a-cebb-4bdd-8ca8-022b3bdd9cfb,Ethnicity & Disease,jv51
j52,789f162c-4b52-4f36-92f2-e19de5c8af8c,Data Science,jv52
j53,4293c8e8-8cd7-4be6-b8b2-69f2b4fa3259,Computer Applications in Engineering Education,jv53
j54,5619586e-de5a-4bc3-ac80-04dd8530d80c,Nature Biomedical Engineering,jv54
j55,6b25cc59-3bb5-4b47-819e-d95ba292c4f7,Information systems research,jv55
j56,b4ddf99b-89f6-42b4-8bbc-9bde693530cf,International Journal of Information Management,jv56
j57,c9ec8f1c-d8e0-4555-b6ca-a068b79b1e40,Business & Information Systems Engineering,jv57
j58,7d2997cd-251d-4613-b0eb-d44a29a52df8,Journal of Data and Information Science,jv58
j59,0bf2c493-a93b-464a-b3d9-e18fbb4a7965,IEEE Computer Graphics and Applications,jv59
j60,83ff973b-8a0e-4e00-a06a-2cfd9e222de9,PLoS Biology,jv60
j61,435bb11d-c0fe-4815-b98e-46c313be8ce7,Journal of Decision Systems,jv61
j62,6c24a0a0-b07d-4d7b-a19b-fd09a3ed453a,Nature,jv62
j63,46314324-f0a7-46d3-8df0-30663e42d679,Expert Opinion on Drug Discovery,jv63
j64,7404efea-88b2-4c7c-8cb1-b3a8ced6363f,IEEE Intelligent Systems,jv64
j65,c737deea-2a9a-4225-aa20-19a7d1c9c702,International Journal of System Dynamics Applications,jv65
j66,93be7524-e38d-4d5a-b7f1-bb2b08b85275,Data Science Journal,jv66
j67,f3b9cfef-ea93-4f7f-a14f-95fbf796875e,IEEE Geoscience and Remote Sensing Magazine,jv67
j68,9ec189b3-db0f-41d8-9c82-21ef5fa9b87e,Frontiers in Genetics,jv68
j69,e2742a49-1b55-4a31-b319-7455fa5e12d4,IEEE Transactions on Services Computing,jv69
j70,dd522c0a-e715-4d95-9ed7-e60346254ddf,Statistics and computing,jv70
j71,82cd90f0-386f-4446-b237-6404c27f6a15,Communications in Computer and Information Science,jv71
j72,71b4e956-03b5-4545-ad85-567b2567ed26,Nursing Administration Quarterly,jv72
j73,e3e1f91c-fe26-4f67-8d15-f7acd8abdf42,Future generations computer systems,jv73
j74,19c7a16a-8ffe-45d4-863e-7e1cc8a78b4d,Statistical analysis and data mining,jv74
j75,2f5d0e8a-faad-4f10-b323-2b2e3c439a78,Lecture Notes in Computer Science,jv75
j76,82f7a62b-9747-4f4c-91ad-166f6a317d5d,Education and Information Technologies : Official Journal of the IFIP technical committee on Education,jv76
j77,2a65d17a-afd8-466e-aff3-e0d0fbc84fb0,International Journal of Intelligent Computing and Cybernetics,jv77
j78,427d3401-f800-43c4-84ad-76e19faa88d0,College and Research Libraries,jv78
j79,f6572f66-2623-4a5e-b0d9-4a5028dea98f,Computer,jv79
j80,93906da2-687f-4184-8437-40998086f409,Nature Reviews Methods Primers,jv80
j81,5bd34b7c-17b3-4080-96c2-50bd51fcab3a,Quantitative Science Studies,jv81
j82,02b0e95f-1216-4dfe-b50d-fdb87b421ec8,EOS,jv82
j83,28927fa0-8dca-4082-a7d0-abd989c8ef12,Advancement of science,jv83
j84,1a624d3a-7238-4368-b208-cdebb1e8ccc8,Nuclear Data Sheets,jv84
j85,be3f884c-b44a-496a-a593-1cad3f89d254,BMC Bioinformatics,jv85
j86,849d78f8-8160-4ca1-8cd8-84253f6abdf6,American Political Science Review,jv86
j87,0535c107-9d95-4d92-8b39-d8eca506d035,Biological Conservation,jv87
j88,7fb6a536-d19e-4526-8585-8be7b1943478,Science Education,jv88
j89,5cbedab5-cba8-430a-82af-b4d2a683e424,ICES Journal of Marine Science,jv89
j90,f80a2e54-1332-48bf-9634-4b2f77fca809,Data Intelligence,jv90
j91,16c9f9d4-bee1-435d-8c85-22a3deba109d,Physical Review Letters,jv91
j92,7652ece8-fbd3-4050-b927-cf29d7f0eaa8,Astrophysical Journal,jv92
j93,b81a92f9-b5d3-48b2-afb5-dacad73fa6d9,MRS Communications,jv93
j94,341d8f49-2ea6-48ef-8053-c49cddebb1e1,MRS bulletin,jv94
j95,f3157ea6-5ef2-47eb-90ca-f81947c40906,Comptes rendus. Mecanique,jv95
j96,8ec18bc5-9c95-446c-a293-735d7ae1e3e9,Perspectives on Psychological Science,jv96
j97,f59506a8-d8bb-4101-b3d4-c4ac3ed03dad,Science,jv97
j98,36d2be9e-7824-4614-a901-dd808a6e2e49,Social Science Research,jv98
j99,70628d6a-97aa-4571-9701-bc0eb3989c32,IEEE Transactions on Geoscience and Remote Sensing,jv99
j100,de65147c-93c3-463a-a8b3-ecf04051fd1a,Astronomy & Astrophysics,jv100
j101,e739a034-cba8-40e0-acd3-6ee2a22c62e0,Earth-Science Reviews,jv101
j102,da96c220-cd39-4894-bae6-d2d77c8e7aa9,Nucleic Acids Research,jv102
j103,07a1179a-6cc7-4fad-b1f1-783a66be9a1a,Conservation Biology,jv103
j104,96c1b36d-3833-4ec5-8806-48b8a93f901d,Scientometrics,jv104
j105,3418dc73-cff9-4be2-882e-5014f80264c1,Behavior Research Methods,jv105
j106,90b0ab9d-99a4-4572-b8e0-b404e618873d,International Journal of Exercise Science,jv106
j107,43b3f0f9-489a-4566-8164-02fafde3cd98,Nature Communications,jv107
j108,0aed7a40-85f3-4c66-9e1b-c1556c57001b,PLoS ONE,jv108
j109,17c57465-210d-4f43-a033-59d25938d6b6,American Journal of Political Science,jv109
j110,171758eb-39e1-4665-a00d-dd65ec7d465e,Political Analysis,jv110
j111,b08588b2-9ba8-4469-a6d4-f0b88977b64f,Journal of Evidence-Based Medicine,jv111
j112,43d8ff46-e680-4c40-84dc-a8f86d3f559b,Cambridge International Law Journal,jv112
j113,5e19119a-7591-4c54-8255-61a8db3575d5,Review of Economics and Statistics,jv113
j114,883c4931-50cd-44e1-a9cb-06b9f8a104a5,EMBO Reports,jv114
j115,9eb2f5b8-afd8-467c-afe3-a65fd0a13773,Political Science Research and Methods,jv115
j116,f9ed10b1-8312-414e-a948-49bbffb263bf,Ambio,jv116
j117,8e7d91d2-bc50-4bc6-8350-1bd4b4fdab9b,Medicine & Science in Sports & Exercise,jv117
j118,a1b87795-fe1f-4a43-bc4b-97b90f5bc75b,Sociological Methods & Research,jv118
j119,dc6419f3-98b3-4718-bba0-6b6d6c3d192b,JMIR Medical Informatics,jv119
j120,43bc7ffd-a6e5-4d65-b2a2-2686696efbc5,Brain Imaging and Behavior,jv120
j121,ee2dd599-75c3-4b69-b970-053972631b37,Big Data Research,jv121
j122,09a61721-0363-4426-9f33-3c4c8580b890,Sustainability Science,jv122
j123,63f2d4cb-31e9-465e-a09f-a48b034b7210,EURASIP Journal on Advances in Signal Processing,jv123
j124,7b19fb63-6e4e-4972-bd80-9e2b17941c95,Royal Society Open Science,jv124
j125,5218cd8f-e9a8-4825-8fcf-ffab8230c857,Public Understanding of Science,jv125
j126,a990ee76-444c-4bda-b714-df4dad0efa5d,Psychology Science,jv126
j127,76ab3377-0a5b-4243-9b06-e2eede0f20de,Trends in Ecology & Evolution,jv127
j128,969f020f-55f8-4f57-9d3a-61542e237f8a,Immunologic research,jv128
j129,312ca99c-9149-490d-813e-c60d5e949f65,Concurrency and Computation,jv129
j130,f99f77b7-b1b6-44d3-984a-f288e9884b9b,Scientific Reports,jv130
j131,982ee153-9191-4993-89ff-b61eb14cdfcb,Astrophysical Journal Supplement Series,jv131
j132,1196488a-e9f3-43c5-84ae-d934dd84ccbf,Prevention Science,jv132
j133,0cfd46d3-bc04-49e9-9bfe-6c194b418613,Social Studies of Science,jv133
j134,657a4bec-9a11-40fb-acfe-243d7fb993ae,Frontiers in Earth Science,jv134
j135,3567d187-af59-4171-97a3-abc4d6beb1bf,"Marketing science (Providence, R.I.)",jv135
j136,f6537e0e-c3a9-4de5-bd36-19eda0434065,Journal of the Royal Society Interface,jv136
j137,0a8df943-e5dc-4a57-b26f-ca35e4e09a97,SIAM Journal on Mathematics of Data Science,jv137
j138,9cc701cf-1f49-4121-8ea9-11bac24d61ad,IEEE Transactions on Big Data,jv138
j139,d4a5e814-e8a0-4c10-aaa6-ebdc39421fec,Light: Science & Applications,jv139
j140,85ac1a60-0578-4aae-894f-f726ea558d4c,Community Dentistry and Oral Epidemiology,jv140
j141,f528e58c-0e4e-45b0-9456-832847244f0e,Empirical Software Engineering,jv141
j142,c99cfe66-b71c-4ca4-bedd-26267b9cb068,IEEE Transactions on Software Engineering,jv142
j143,518d38cf-179f-480b-b32a-c9d4e6bba46e,Informatik-Spektrum,jv143
j144,64ae7767-9467-4e70-9e31-e4185f9f16ff,Information and Software Technology,jv144
j145,10a4a695-8417-42c7-983d-742df48b3905,Journal of Systems and Software,jv145
j146,0730105a-4941-449f-9450-28cba8ae056b,ACM Transactions on Software Engineering and Methodology,jv146
j147,119227a6-1b94-433e-a52d-8445a387dbbe,IEEE Software,jv147
j148,f8c1288e-7248-48b1-9c43-c80bb91e8cad,Journal of Software Engineering Research and Development,jv148
j149,78ebe7c1-b88c-4801-9d98-700a1c791a61,"Software testing, verification & reliability",jv149
j150,558a3215-8ffd-4b31-be7f-f653ca3b600d,PeerJ,jv150
j151,2135230a-3b24-4b71-9583-60624389377a,IEEE Transactions on Industrial Informatics,jv151
j152,22ec5dc2-bb5e-4fea-a7dd-61676b6e7f78,IEEE Annals of the History of Computing,jv152
j153,027ffd21-ebb0-4af8-baf5-911124292fd0,bioRxiv,jv153
j154,3da56ce6-4a70-402c-a8b0-7dd39a3273d3,"Software, Practice & Experience",jv154
j155,592a2b9d-14a1-4476-8b68-1d3a2f209898,Advances in Software Engineering,jv155
j156,9e813668-7b2e-4506-9e7e-4a285f318e46,Springer US,jv156
j157,fe9174dc-ba90-4d03-929c-4edaf60d2a64,Requirements Engineering,jv157
j158,96018464-22dc-4b5c-a172-c2f4a30ce131,Artificial Intelligence,jv158
j159,bc2801b8-b059-4ee4-be9a-cd1943f45bf3,Information Systems,jv159
j160,73585779-8f95-43d4-be17-c74ed16aebd9,Journal of Software,jv160
j161,fb4d95f0-46a7-4feb-b6fb-bffa7b98f19a,IET Software,jv161
j162,34d27e28-7f37-4875-ad8f-1018aced1e41,Systems Engineering,jv162
j163,e0706bac-2807-4453-89b8-cc7094693384,Journal of the American Society for Information Science,jv163
j164,86b22730-8744-40a9-ae4d-d21830dfb282,Autonomous Agents and Multi-Agent Systems,jv164
j165,0cf6c0df-2bbb-4620-96c5-0bf91ed94d7a,Journal of Software and Systems Modeling,jv165
j166,f0e4908d-92b1-4f6a-8f01-f81c78e75c2d,International Journal on Software Tools for Technology Transfer (STTT),jv166
j167,42cd70f7-45f1-4f5a-9723-42d222d6c56e,IEEE transactions on computers,jv167
j168,6faaccca-1cc4-45a9-aeb6-96a4901d2606,Proceedings of the IEEE,jv168
j169,b044d3cd-4725-4f77-b517-214706478060,Annals of Software Engineering,jv169
j170,c9878648-1073-4243-811d-5e9479c350e9,Knowledge engineering review (Print),jv170
j171,ed3076f2-967a-47c8-b60d-7bea15e28461,Software Engineering Journal,jv171
j172,705a5f2b-aaf1-41fb-bc28-be78040b4587,Nature Protocols,jv172
j173,a7d48414-e40b-4441-829e-d9a349bea6fb,Journal of Molecular Biology,jv173
j174,1236e136-01b7-42d5-8c4a-593153a3ab37,Journal of Open Source Software,jv174
j175,f44976b5-2cb9-402a-bc59-6a174239987b,Nature reviews genetics,jv175
j176,9970f803-8311-476b-888b-3c3affe3aad0,Experimental and Molecular Medicine,jv176
j177,6457124b-39bf-4d02-bff4-73752ff21562,Nature Machine Intelligence,jv177
j178,8506a01a-40b8-4e6f-bbb8-ce2492139c15,International Journal of Molecular Sciences,jv178
j179,4e516638-5c1d-4699-8d1b-3b48f0d48ddc,Protein Science,jv179
j180,7fe84005-586f-4604-98ee-fa60fe8ae618,Journal of Clinical Medicine,jv180
j181,79c59592-820f-4ed1-87df-db795b4326be,Journal of medical systems,jv181
j182,77d82a3b-88a9-4a01-b3f8-473032045c5d,Medicinal chemistry,jv182
j183,3c8f4cec-a435-421a-b301-785e136e65e5,Journal of Infectious Diseases,jv183
j184,df12d289-f447-47d3-8846-75e39de3ab57,Neurocomputing,jv184
j185,98dc4780-9354-4194-8b74-9cee4699ab66,SpringerPlus,jv185
j186,8aa1809e-2afc-499d-b1eb-4f7d1dab5f28,BMC Microbiology,jv186
j187,0a96e67f-c1f1-491d-ab41-4c2c50b523a2,Genome Research,jv187
j188,3eceb08a-6b94-43fb-b3ba-1468f759573b,Analytical and Bioanalytical Chemistry,jv188
j189,f9827422-a381-440c-a8a4-e5e50415934e,Journal of Biomedical Informatics,jv189
j190,054ddb2c-47fb-4de8-acfd-38566bec5015,Methods,jv190
j191,3445a712-bef4-4b80-b4f8-d527e01df714,Molecular Ecology Resources,jv191
j192,9bb66e11-4952-4228-997b-bdf48fdc94d5,Cancer Informatics,jv192
j193,c0047299-4a6a-4b3f-a6f6-e89a0ab88470,GigaScience,jv193
j194,ad63e55f-27c0-4ac0-9a28-01ed9d8ab0d5,Current Topics in Medicinal Chemistry,jv194
j195,59a6be0e-b047-4a97-a136-d94781c8adbd,Journal of B.U.ON. : official journal of the Balkan Union of Oncology,jv195
j196,1b0a86a4-e46f-4b08-b95f-adb96a8deea4,Microbes and Environments,jv196
j197,678ce279-560b-4a6c-af55-ff68d5c2b544,Bioscience Reports,jv197
j198,1e853ea4-0f70-4d45-aa7e-7612a227cbcf,Wiley Interdisciplinary Reviews Data Mining and Knowledge Discovery,jv198
j199,b142707c-e6b5-427a-a6d4-313604e96add,Clinical Chemistry,jv199
j200,38fdbaee-5a13-42a6-8bdf-b16b8f738b30,Current Protocols in Human Genetics,jv200
j201,a6935d84-c149-452d-8d38-799076f769a9,Network Modeling Analysis in Health Informatics and Bioinformatics,jv201
j202,cdf4bb1c-e624-482e-8289-da2009c4c31a,Journal of Cellular Physiology,jv202
j203,2c81369a-7566-4cf3-8e80-703dbcf65bda,Natural product reports (Print),jv203
j204,d8fd7267-611b-4695-bc1e-77206e4dea5b,CBE - Life Sciences Education,jv204
j205,7758f686-2a47-473d-835c-6784e70a0aac,Nature Chemical Biology,jv205
j206,164cf9d6-c9e8-41f0-b15d-00fa34cb4bd1,Analytical Chemistry,jv206
j207,d8419692-fa10-4535-99f0-ff15a9836a3b,Biological Procedures Online,jv207
j208,f2ef2627-4ab1-43a8-a5c2-96f6d42b26ec,Influenza and Other Respiratory Viruses,jv208
j209,b51ebc17-99ea-48ba-9271-1074f526a9a1,Human Mutation,jv209
j210,fdeb07d1-a046-4a1a-98aa-167e7f8e667a,Frontiers in Oncology,jv210
j211,08ee3346-e195-4333-b008-be3a4f9e23cd,Biochimica et Biophysica Acta,jv211
j212,33a3a6f1-cd60-4248-bbd4-c85fe26b801a,Viruses,jv212
j213,ae370fd3-0802-4915-aee5-5168c616747a,Current Bioinformatics,jv213
j214,7270e188-d479-4233-b457-1d07288baaef,Journal of chemical information and computer sciences,jv214
j215,7c7081ff-cde3-49d7-aa8a-8f29ecc4f0a0,Biology Direct,jv215
j216,57307fe3-fa8c-47ec-9b5d-4bab7fd699fc,Infection and Immunity,jv216
j217,33f68909-043d-420c-b41b-00f6ee97db43,Journal of Inorganic Biochemistry,jv217
j218,f13c562f-8530-4cef-a857-00c4f2d8403d,Molecular & Cellular Proteomics,jv218
j219,dc4a9aad-72db-4530-a183-eaa4bf1d4490,IEEE/ACM Transactions on Computational Biology & Bioinformatics,jv219
j220,40742290-7c4b-438e-8bbd-b937a9d707e4,Clinical pharmacology and therapy,jv220
j221,795999c5-a1ee-4c35-a6c8-7901212c798c,Plant and Cell Physiology,jv221
j222,56753896-ea87-41d6-a80a-b4ddc8372318,Springer: New York,jv222
j223,267e4af9-5f9c-4dd7-ad9e-dbe2e21cc1e5,Physiological Genomics,jv223
j224,09246bed-4d95-4656-9c5b-5ce1b3074cb3,Plant Physiology,jv224
j225,a8009bad-664b-465f-9fc2-8656bc637bc4,Advances in Experimental Medicine and Biology,jv225
j226,35dfbad2-f0d5-49ac-9a05-f7da44efe120,Journal of Clinical Bioinformatics,jv226
j227,e26133f2-2f02-4bc5-a3ad-26bdbdc9636c,Trends in Genetics,jv227
j228,acdcc82c-368c-442a-92e8-0a2913177701,Nature Reviews Neurology,jv228
j229,91b19bbf-b6f0-46c2-bbec-6bcfb5463d4d,Molecules,jv229
j230,8ef352ff-f009-488c-8669-83bbc68d651c,Journal of Computing Science and Engineering,jv230
j231,2a08a97b-5c21-4ec1-a0fa-82807c4a992a,Toxicological Sciences,jv231
j232,4dbfe6f0-742b-4e3f-a64b-80278552db0d,Current Medicinal Chemistry,jv232
j233,9c7806c9-5d45-4670-86ed-e7e052ef142a,Biochemical Society Transactions,jv233
j234,2e5b2b9d-b39f-4cf0-ae86-4c9ff4011524,Nature Reviews Microbiology,jv234
j235,2c469df0-fa01-4dee-8f25-0d87a6fc4ef1,Proteomics,jv235
j236,b01967aa-e4aa-4814-93ce-93daff8f618f,Methods of biochemical analysis,jv236
j237,e4782337-db2d-4ab2-8eda-a71d1c60709b,Cell,jv237
j238,52bd1f2f-5bb2-4bae-8674-c503b506c30e,Molecular biology and evolution,jv238
j239,fc27a8b5-9c12-424a-a71b-6f2c29bc17ec,Pharmacogenomics (London),jv239
j240,79ddd452-3c10-473b-9f28-5c7dd0dc4553,International Journal of Systematic and Evolutionary Microbiology,jv240
j241,c0efe552-8a0a-41a7-8ce2-340fb0dbfe6f,Science Signaling,jv241
j242,a1eabcca-9d3f-45ac-bb78-c024734a2b68,Genome Medicine,jv242
j243,50dc9bd0-1c59-4773-8aaf-7fc39b21fe75,Journal of Antimicrobial Chemotherapy,jv243
j244,3a435ff9-d0c3-4eb9-9a89-992c0f8bf398,Genes,jv244
j245,5e1f6444-5d03-48c7-b202-7f47d492aeae,IEEE Transactions on Visualization and Computer Graphics,jv245
j246,95f5bdab-1f05-4090-899f-3869a15b5707,Methods of Information in Medicine,jv246
j247,2ac50919-507e-41c7-93a8-721c4b804757,IEEE Transactions on Neural Networks,jv247
j248,40489137-49cf-485d-a673-9a7807f827b3,WHO chronicle,jv248
j249,7c9d091e-015e-4e5d-a11f-9bc369fcf414,IEEE Transactions on Parallel and Distributed Systems,jv249
j250,43b87a47-bd26-4b65-918f-f9bbd159ea77,Human Genetics,jv250
j251,99b00e0c-56b4-4079-91b7-0fa64b30b1ca,Gut,jv251
j252,7295ba21-341d-47f2-910c-7f2f0dcb7cb5,Molecular Ecology Notes,jv252
j253,c7bbca07-9604-48a6-85d8-512fa663722e,Journal of Proteome Research,jv253
j254,fb7027bc-56d9-4d79-98c4-47861dc42d0b,Annual Review of Plant Biology,jv254
j255,2360b2ce-5340-4b89-b7d1-b4132d911e39,Journal of Experimental Botany,jv255
j256,3f7605a7-7e53-4ff7-8895-42f09a5f4355,Frontiers in Immunology,jv256
j257,a71ee771-e530-4f7b-ac2f-30bb96af027b,International Journal of Plant Genomics,jv257
j258,7da02f55-90e6-4b3f-a5a0-510ef6acc547,Statistical Applications in Genetics and Molecular Biology,jv258
j259,7959fdab-81a2-4da4-8f2a-bd5855de5c6e,BMC Systems Biology,jv259
j260,15d4205f-903b-403c-9a2e-906f02ce04d8,Bioinformatics,jv260
j261,ffcd6e1c-ab8a-4e6a-a080-da13704fc0d4,Biologia plantarum,jv261
j262,eea091f7-95c9-4359-b9e5-62a18bd20ab3,"Tanpakushitsu kakusan koso. Protein, nucleic acid, enzyme",jv262
j263,38278c2e-2198-4d61-b807-f318d824b077,Electrophoresis,jv263
j264,278243c1-fe9f-46e8-bff7-cd9b9098bf2e,Briefings in Bioinformatics,jv264
j265,3b0987fd-daa6-4dd4-947c-4925c14712c0,BioData Mining,jv265
j266,abda0c46-826f-441c-8920-70143ffcebc1,Biopolymers,jv266
j267,894b1202-d279-49e2-9809-a2a20d8903b1,Current Opinion in Biotechnology,jv267
j268,777d7a41-df2c-4867-a5ec-63920572d28f,Biometrics,jv268
j269,f3edecc2-7c98-4a52-b947-a2f93c135501,Applied Bioinformatics,jv269
j270,32b90ffe-8dbf-47b8-99e1-335ec3dfd2ba,Journal of Proteomics & Bioinformatics,jv270
j271,d8cfd1a0-d8da-4623-af29-0da236626f84,New Phytologist,jv271
j272,e02530e7-d355-4769-a1c4-785277f87aef,International Journal of Bioinformatics Research and Applications,jv272
j273,286e2a9c-d493-424e-9165-83b5849167a1,Current molecular medicine,jv273
j274,bb27e645-e57c-42c3-bcbc-c7b443c58209,Nature Genetics,jv274
j275,1e7039c8-e30c-4af0-b7d3-f5e05dff5d21,Methods in Enzymology,jv275
j276,66fa3a04-1561-48ac-8933-39a60b63cfad,Drug Discovery Today,jv276
j277,3456d2d7-a9b4-495f-a7a0-a238096ee07a,Journal of Immunology,jv277
j278,dbf292d2-556a-4a6e-9bda-974ae86b8b2f,Nature reviews. Immunology,jv278
j279,2085d930-2944-4d5b-8cfb-6d4ff288cc8a,IBM Systems Journal,jv279
j280,099a2ecc-54f9-42d3-9ea0-0189027aa04f,Journal of Biological Chemistry,jv280
j281,2ca4279c-8ed7-4280-8022-09e577923a09,Frontiers in Neuroscience,jv281
j282,c9c5c542-7b79-4541-b4d2-62ba2238733e,Frontiers in Bioengineering and Biotechnology,jv282
j283,99191383-4095-456f-adc6-961e93a6a853,Dialogues in Clinical Neuroscience,jv283
j284,0be18492-3c25-4a50-846f-165b92b3fb83,Journal of manufacturing science and engineering,jv284
j285,47ba6266-85d0-494a-a55a-927f8c599119,Engineering computations,jv285
j286,7e036404-bf67-4f4e-98c7-687e5b81692e,Bulletin of the Australian Mathematical Society,jv286
j287,0f3cd77d-0863-4f0c-9246-ea8abb4a5680,Oberwolfach Reports,jv287
j288,9a49f4eb-4bd6-467d-8202-b660e8d05e7e,The Neuroscientist,jv288
j289,a15f1020-494a-4b1b-be4a-29b72d37d7d5,Saudi Journal of Biological Sciences,jv289
j290,26e5254e-7228-4f34-b3da-e1d652124983,Journal of Neuroscience Research,jv290
j291,748e730b-add9-47ee-819d-8ae54e504ef9,IEEE Transactions on Information Theory,jv291
j292,e92d0adf-ffa5-49b2-90bf-5dede4af11c5,Epilepsia,jv292
j293,b61ce141-a434-431b-a154-68fc26e348f3,Proceedings of the Royal Society A,jv293
j294,1572e966-ab0e-46aa-a20d-77561de5d7ba,Neurobiology of Aging,jv294
j295,7e331686-6620-4481-a3d5-5effffe9ab83,Biomedical Optics Express,jv295
j296,74b0478a-292c-4fe3-bb2f-71f438f00cc7,Nature Reviews Neuroscience,jv296
j297,677c9577-156b-4396-a0ea-3fa9d8038443,Research Synthesis Methods,jv297
j298,f4a7a77b-3fc0-4bae-ac62-619688a2b341,Transactions of the American Mathematical Society,jv298
j299,25248f80-fe99-48e5-9b8e-9baef3b8e23b,IEEE Transactions on Pattern Analysis and Machine Intelligence,jv299
j300,8eabe4e5-3d91-4297-ab8f-475904598d30,BMC Neuroscience,jv300
j301,0bebd3b7-9bc2-4d76-9916-59f72f7a4d30,Genetic Epidemiology,jv301
