authorId,authorUrl,authorName
a93,1404856444,Sabah Ul-Hasan
a94,5460194,J. V. D. van der Hooft
a95,123107351,Fernando Vargas
a96,1398440330,Y. Vázquez-Baeza
a97,6346734,E. Vogtmann
a98,150237239,Max von Hippel
a99,47178580,William A. Walters
a100,38899048,Yunhu Wan
a101,1949898,Mingxun Wang
a102,50294532,Jonathan Warren
a103,51914702,Kyle C. Weber
a104,36633883,C. H. Williamson
a105,145511581,A. Willis
a106,31733281,Z. Xu
a107,48348200,Jesse R. Zaneveld
a108,48380236,Yilong Zhang
a109,47713290,Qiyun Zhu
a110,143939190,R. Knight
a111,143865612,J. Caporaso
a112,2660689,O. Papaspiliopoulos
a113,1399205325,Fernando Martínez-Plumed
a114,1572944977,Lidia Contreras-Ochando
a115,1785006,C. Ferri
a116,66969655,José Hernández Orallo
a117,66368615,Meelis Kull
a118,2605200,N. Lachiche
a119,2065857867,M. J. R. Quintana
a120,144474086,P. Flach
a121,36743361,Dakuo Wang
a122,2055456335,Josh Andres
a123,1927553,Justin D. Weisz
a124,1506548883,Erick Oduor
a125,2391727,Casey Dugan
a126,3456687,Iqbal H. Sarker
a127,145481009,G. Peyré
a128,1711979,Marco Cuturi
a129,2179772144,K. Sankar
a130,2159759171,Mr. Vasudev Shahapur
a131,2159757769,Amisha Shetty
a132,2159757224,Chaitra P Shetty
a133,2159757618,Gayathri
a134,2159756362,Prathiksha Shetty
a135,1399162888,David Lähnemann
a136,46584000,J. Köster
a137,1713701,E. Szczurek
a138,1947387,Davis J. McCarthy
a139,35099275,S. Hicks
a140,144630231,M. Robinson
a141,49688447,C. Vallejos
a142,7993996,Kieran R. Campbell
a143,2337683,N. Beerenwinkel
a144,143674431,A. Mahfouz
a145,2566296,Luca Pinello
a146,1731257,P. Skums
a147,143958048,A. Stamatakis
a148,2084557,Camille Stephan-Otto Attolini
a149,144427183,Samuel Aparicio
a150,3458428,J. Baaijens
a151,15916544,M. Balvert
a152,1382297839,B. D. Barbanson
a153,50683764,A. Cappuccio
a154,14872779,G. Corleone
a155,1837495,B. Dutilh
a156,1803797,M. Florescu
a157,3110179,V. Guryev
a158,144038008,Rens Holmer
a159,46504181,Katharina Jahn
a160,1381695766,Thamar Jessurun Lobo
a161,121567631,Emma M. Keizer
a162,40271958,Indu Khatri
a163,2452575,S. Kiełbasa
a164,144226508,J. Korbel
a165,48086053,Alexey M. Kozlov
a166,46848946,Tzu-Hao Kuo
a167,1681016,B. Lelieveldt
a168,1743075,I. Măndoiu
a169,2552975,J. Marioni
a170,1772268,T. Marschall
a171,114702007,Felix Mölder
a172,2508935,A. Niknejad
a173,3430022,Lukasz Raczkowski
a174,1681254,M. Reinders
a175,143616731,J. Ridder
a176,48468275,A. Saliba
a177,1491611469,A. Somarakis
a178,152423211,O. Stegle
a179,2958299,Fabian J Theis
a180,2155465038,Huan Yang
a181,1720195,A. Zelikovsky
a182,2488686,A. Mchardy
a183,35016672,Benjamin J. Raphael
a184,1784749,S. Shah
a185,1802591,A. Schönhuth
a186,2155663674,ACM Data Science Task Force
a187,145507543,Juan C. Caicedo
a188,47348021,A. Goodman
a189,8606450,Kyle W. Karhohs
a190,6648707,B. Cimini
a191,147015068,Jeanelle Ackerman
a192,2057582064,Marzieh Haghighi
a193,2030964,Cherkeng Heng
a194,143934208,T. Becker
a195,144810428,M. Doan
a196,51043865,C. McQuin
a197,2547227,M. Rohban
a198,153203822,Shantanu Singh
a199,1721012,Anne E Carpenter
a200,1690967,A. Blum
a201,1706504,J. Hopcroft
a202,144632403,R. Kannan
a203,2092542,Valerio Grossi
a204,1685102,F. Giannotti
a205,1693341,D. Pedreschi
a206,1799502,P. Manghi
a207,1769599,P. Pagano
a208,2671645,M. Assante
a209,2126470942,R. R. Silva
a210,2063775514,Ii Michael S Robeson
a211,145910366,Justin J. J. van der Hooft
a212,91066710,C. Williamson
a213,144366819,A. Kayes
a214,49696663,S. Badsha
a215,15597895,Hamed Alqahtani
a216,1682100,P. Watters
a217,46201673,Alex Ng
a218,24040678,S. Latif
a219,143997402,Muhammad Usman
a220,1483726395,Sanaullah Manzoor
a221,14577774,Waleed Iqbal
a222,1734917,Junaid Qadir
a223,1749012,Gareth Tyson
a224,2085689125,Ignacio Castro
a225,1740639,A. Razi
a226,49143963,M. Boulos
a227,145689461,Adrian Weller
a228,144334554,J. Crowcroft
a229,2562040,S. Raschka
a230,2055466552,Joshua Patterson
a231,1491910676,Corey J. Nolet
a232,144518215,Amy X. Zhang
a233,1561777696,Michael J. Muller
a234,134251468,K. Jablonka
a235,17711197,D. Ongari
a236,144683061,S. M. Moosavi
a237,144189527,B. Smit
a238,47557914,Yuxin Chen
a239,1784472,Yuejie Chi
a240,144958605,Jianqing Fan
a241,1995760767,Cong Ma
a242,46867002,Yi Zhang
a243,1804315,Z. Ives
a244,145872183,Huadong Guo
a245,1987744,S. Nativi
a246,2087749667,Dong Liang
a247,2196719,M. Craglia
a248,2108594617,Lizhe Wang
a249,1681824,S. Schade
a250,2074418,C. Corbane
a251,3327178,G. He
a252,1981923,M. Pesaresi
a253,46276515,Jianhui Li
a254,23536395,Zeeshan Shirazi
a255,2146650970,Jie Liu
a256,12761970,A. Annoni
a257,88817685,Saeed Nosratabadi
a258,3081489,A. Mosavi
a259,7817034,Puhong Duan
a260,2370080,Pedram Ghamisi
a261,29619587,Ferdinánd Filip
a262,1955932190,S. Band
a263,40534939,U. Reuter
a264,143931014,João Gama
a265,1764455,A. Gandomi
a266,5446768,Somalee Datta
a267,145882108,J. Posada
a268,1587676605,Garrick Olson
a269,2108689288,Wencheng Li
a270,1500544912,Ciaran O'Reilly
a271,2081591992,Deepa Balraj
a272,15291510,Joseph Mesterhazy
a273,1587802648,Joseph Pallas
a274,2057113353,Priyamvada Desai
a275,143665076,N. Shah
a276,1706010,C. Brunsdon
a277,48982395,A. Comber
a278,1783400,P. L. Combettes
a279,1737505,J. Pesquet
a280,1397958668,L. Maier-Hein
a281,145472146,M. Wagner
a282,118012992,T. Ross
a283,47131776,Annika Reinke
a284,2462340,S. Bodenstedt
a285,93088018,Peter M. Full
a286,1585780832,Hellena Hempe
a287,65841662,D. Filimon
a288,2062880835,Patrick Scholz
a289,1585890027,T. N. Tran
a290,51903792,Pierangela Bruno
a291,1679990966,Anna Kisilenko
a292,2067885689,Benjamin Müller
a293,1679990969,Tornike Davitashvili
a294,1679974988,Manuela Capek
a295,14332753,M. Tizabi
a296,33751657,M. Eisenmann
a297,144784171,T. Adler
a298,9587758,J. Gröhl
a299,1680042085,Melanie Schellenberg
a300,90487550,S. Seidlitz
a301,2052777412,T. Y. E. Lai
a302,1380212948,Veith Roethlingshoefer
a303,32630778,Fabian Both
a304,3070293,Sebastian Bittel
a305,1679992383,M. Mengler
a306,3452213,M. Apitz
a307,47515221,S. Speidel
a308,1711534,H. Kenngott
a309,1390139613,B. Müller-Stich
a310,31904485,Samir Passi
a311,1771108,Phoebe Sengers
a312,2441164,R. Irizarry
a313,2148761004,Longbing Cao
a314,5178086,A. Chiolero
a315,144795713,D. Buckeridge
a316,2630296,Sean Kross
a317,34814856,R. Peng
a318,1886238,B. Caffo
a319,23579626,Ira Gooding
a320,46550919,J. Leek
a321,1398914668,Mine Çetinkaya-Rundel
a322,31453285,Victoria Ellison
a323,3212908,Daniel L. Oberski
a324,14024326,Fabian Ruehle
a325,2061800818,Cecilia M. Aragon
a326,2345714,Shion Guha
a327,33049547,M. Kogan
a328,37998480,Gina Neff
a329,51906013,Cathrine Seidelin
a330,3214594,Katie Shilton
a331,10835407,A. Tanweer
a332,1812881,Runze Li
a333,153884534,Cun-Hui Zhang
a334,48861660,H. Zou
a335,145525190,J. Pei
a336,73685318,Ingrid Lange
a337,2752280,David Piorkowski
a338,2052949,Jason Tsay
a339,144921048,Q. Liao
a340,32421869,T. Erickson
a341,2944292,P. Ram
a342,143774641,Werner Geyer
a343,2411702,Y. Tausczik
a344,1756353,Horst Samulowitz
a345,2055386592,Alexander Gray
a346,2737693,A. Berti
a347,2775146,S. V. Zelst
a348,145898058,Wil M.P. van der Aalst
a349,3077876,Zeynep Engin
a350,1761192,P. Treleaven
a351,9147815,M. Alloghani
a352,1398585056,D. Al-Jumeily
a353,123894038,J. Mustafina
a354,145463079,A. Hussain
a355,2013933,A. Aljaaf
a356,144923779,Bin Yu
a357,47714322,J. Polonsky
a358,6565832,A. Baidjoe
a359,5365043,Z. Kamvar
a360,2120479,A. Cori
a361,39117790,K. Durski
a362,47647620,W. Edmunds
a363,4673329,R. Eggo
a364,2262177,S. Funk
a365,143836878,L. Kaiser
a366,47508912,P. Keating
a367,120918069,O. L. P. de Waroux
a368,1615829619,M. Marks
a369,46673132,P. Moraga
a370,145026617,O. Morgan
a371,2337651,P. Nouvellet
a372,50272146,R. Ratnayake
a373,6456015,C. Roberts
a374,152646369,Jimmy Whitworth
a375,2980450,T. Jombart
a376,33270118,Philip J. Guo
a377,145261717,H. Fröhlich
a378,46916438,R. Balling
a379,143998072,O. Kohlbacher
a380,46574709,Santosh Kumar
a381,49370597,Thomas Lengauer
a382,1950729,M. Maathuis
a383,1732750,Y. Moreau
a384,144180010,S. Murphy
a385,1939433,T. Przytycka
a386,2739468,M. Rebhan
a387,144927159,H. Röst
a388,145743805,A. Schuppert
a389,145780106,M. Schwab
a390,48692032,R. Spang
a391,2225948,D. Stekhoven
a392,49991208,Jimeng Sun
a393,2068134753,A. Weber
a394,2119112,D. Ziemek
a395,1775384,B. Zupan
a396,2027648,J. Saltz
a397,2065605006,Neil I. Dewar
a398,83201140,Kevin M. Mendez
a399,2313947,L. Pritchard
a400,4114666,S. Reinke
a401,49934155,D. Broadhurst
a402,51208883,J. McPadden
a403,48946116,T. Durant
a404,5328311,D. Bunch
a405,38385690,A. Coppi
a406,144696683,Nathaniel Price
a407,15671883,Kris Rodgerson
a408,51219288,C. Torre
a409,1412757151,William Byron
a410,2474559,A. Hsiao
a411,2467795,H. Krumholz
a412,14677344,W. Schulz
a413,1700173,G. Blair
a414,144598189,P. Henrys
a415,20520552,A. Leeson
a416,49186479,J. Watkins
a417,11805340,E. Eastoe
a418,153809986,S. Jarvis
a419,1922284334,P. Young
a420,145262829,Melanie Feinberg
a421,2055859311,Timothy George
a422,1685522,S. Jackson
a423,1688844,Bonnie E. John
a424,2874726,Mary Beth Kery
a425,144333297,M. Nasution
a426,1860635820,Opim Salim Sitompul
a427,1885282835,Erna Budhiarti Nababan
a428,1709392,D. Donoho
a429,65991810,Alexandre Ribas Semeler
a430,2082407039,Adilson Luiz Pinto
a431,2085348595,Helen Beatriz Frota Rozados
a432,40362338,M. Hernán
a433,2072740070,J. Hsu
a434,2411193,B. Healy
a435,2631572,B. Daniel
a436,152575374,Fábio C. P. Navarro
a437,1699259,Hussein Mohsen
a438,34764116,Chengfei Yan
a439,3291146,Shantao Li
a440,39345350,Mengting Gu
a441,41219567,William U. Meyerson
a442,1717018,M. Gerstein
a443,3277480,F. Archetti
a444,48697039,Antonio Candelieri
a445,47628266,F. Creutzig
a446,9691982,S. Lohrey
a447,48567420,X. Bai
a448,144070372,A. Baklanov
a449,144239097,R. Dawson
a450,35792812,S. Dhakal
a451,51297621,W. Lamb
a452,3681654,T. McPhearson
a453,70054515,J. Minx
a454,2061038488,Esteban Muñoz
a455,2051372542,Brenna Walsh
a456,32826718,Henry E. Brady
a457,66026904,鄭 躍軍
a458,52419089,金 明哲
a459,116695634,村上 征勝
a460,48915850,Field Cady
a461,144265063,E. Ford
a462,2165530,A. Boyd
a463,15283050,J. Bowles
a464,3365871,A. Havard
a465,2303719,R. Aldridge
a466,1778446,V. Curcin
a467,1916040,M. Greiver
a468,4165758,K. Harron
a469,12440182,V. Katikireddi
a470,2059877618,Sarah E. Rodgers
a471,2715187,M. Sperrin
a472,1403076106,Michelle Wilkerson
a473,145750440,J. Polman
a474,3240918,S. Dodge
a475,4603017,Sudarshan A. Shetty
a476,3294751,L. Lahti
a477,39908645,A. Singleton
a478,1403960481,Daniel Arribas-Bel
a479,50780388,Ruben Martins
a480,2108199624,Jia Chen
a481,2109196457,Yanju Chen
a482,2150671055,Yu Feng
a483,1714075,Işıl Dillig
a484,3044529,Leo Liberti
a485,1704242,Dirk P. Kroese
a486,1929279,Z. Botev
a487,1997850,T. Taimre
a488,2168267,Radislav Vaisman
a489,3209734,S. Virkus
a490,3047640,E. Garoufallou
a491,3355567,Donghui Yan
a492,2064771791,Gary E. Davis
a493,2525772,A. Danyluk
a494,38959541,Paul M. Leidig
a495,144761176,L. Cassel
a496,3178042,C. Servin
a497,2781539,F. Berman
a498,1722400,Rob A. Rutenbar
a499,2341622,B. Hailpern
a500,2105998204,Henrik Christensen
a501,49702692,S. Davidson
a502,153468945,D. Estrin
a503,101251726,Michael J. Franklin
a504,1708269,M. Martonosi
a505,2059337676,Padma Raghavan
a506,2598812,V. Stodden
a507,7934073,A. Szalay
a508,49028813,L. Taylor
a509,3473834,Nadezhda Purtova
a510,2107976569,Gary Smith
a511,1380506031,J. Cordes
a512,48596333,J. Oliver
a513,72466489,Chris Kollen
a514,79734689,B. Hickson
a515,144139288,F. Rios
a516,144008442,Jonathan Bright
a517,36838735,B. Ganesh
a518,1445301871,Thomas M. Vogl
a519,2424441,A. Ferguson
a520,87122962,Ben Green
a521,1746961,Tim Kraska
a522,2548167,A. Karpatne
a523,3119819,G. Atluri
a524,1986735,James H. Faghmous
a525,1707756,M. Steinbach
a526,144205696,A. Banerjee
a527,143669775,A. Ganguly
a528,145072875,S. Shekhar
a529,1726428,N. Samatova
a530,2107978833,Vipin Kumar
a531,1684641,C. Weihs
a532,2079028,K. Ickstadt
a533,1401272901,L. Sanchez-Pinto
a534,94936386,Yuan Luo
a535,5095349,M. Churpek
a536,113939582,A. Mikroyannidis
a537,2073452805,John Domingue
a538,2029147,Michelle Bachler
a539,47203696,K. Quick
a540,2110126297,Keisuke Takahashi
a541,40445985,Lauren Takahashi
a542,47328590,Itsuki Miyazato
a543,2112766906,Yuzuru Tanaka
a544,144336249,D. McQuillan
a545,143698002,Chang Su
a546,2075368169,Jie Tong
a547,143918378,Yongjun Zhu
a548,143738684,Peng Cui
a549,39586294,Fei Wang
a550,74823287,S. Farley
a551,123381777,A. Dawson
a552,6293225,S. Goring
a553,2111929845,John W. Williams
a554,2994037,P. Kubben
a555,1736389,M. Dumontier
a556,48742163,A. Dekker
a557,3297552,Randal S. Olson
a558,39248319,Nathan Bartley
a559,1800213,R. Urbanowicz
a560,152512193,J. Moore
a561,144902513,P. Baldi
a562,103899763,Julia Rudnitckaia
a563,1949026,C. Humby
a564,12165227,Telecommunications Board
a565,3367299,K. McGrail
a566,34282629,K. Jones
a567,2406556,A. Akbari
a568,32082228,T. Bennett
a569,50191978,F. Carinci
a570,47449139,Xinjie Cui
a571,48144767,S. Denaxas
a572,6031654,N. Dougall
a573,3343534,D. Ford
a574,2395144,R. Kirby
a575,2344111,Hye‐Chung Kum
a576,145860216,R. Moorin
a577,47430539,R. Moran
a578,1393203758,C. O'Keefe
a579,2254229,D. Preen
a580,2129237,H. Quan
a581,144165720,C. Sanmartin
a582,2780549,M. Schull
a583,1410176637,Mark Smith
a584,2110525134,Christine Williams
a585,145333206,T. Williamson
a586,8282582,G. Wyper
a587,5049606,M. Kotelchuck
a588,2427554,C. Turkay
a589,2343408,Nicola Pezzotti
a590,2691974,Carsten Binnig
a591,2879705,Hendrik Strobelt
a592,143684647,B. Hammer
a593,9106757,D. Keim
a594,144381703,Jean-Daniel Fekete
a595,1725167,Themis Palpanas
a596,2143404317,Yunhai Wang
a597,2289824,Florin Rusu
a598,1643660495,A. Rao
a599,81260741,Ayush Bihani
a600,145843315,Mydhili K. Nair
a601,115739577,M. Shakoor
a602,90064306,O. L. Kafka
a603,87448956,Cheng Yu
a604,152450400,Wing Kam Liu
a605,144829520,K. Gibert
a606,1760798,J. Horsburgh
a607,144373046,I. Athanasiadis
a608,144282963,G. Holmes
a609,46660076,L. Wang
a610,82052397,Nicholas Hotz
a611,144688641,D. Wild
a612,82276372,Kyle Stirling
a613,48650315,F. Foroughi
a614,8930649,P. Luksch
a615,50511380,Matt Burton
a616,35183342,L. Lyon
a617,5145191,C. Erdmann
a618,67314925,Bonnie Tijerina
a619,32305413,B. Heinemann
a620,2046200,Simone Opel
a621,40274483,Lea Budde
a622,1777273,Carsten Schulte
a623,2081789642,Daniel Frischemeier
a624,2094070773,Rolf Biehler
a625,2095167466,Susanne Podworny
a626,2099797549,Thomas Wassong
a627,1803195,E. Zegura
a628,143903307,C. Disalvo
a629,11983152,Amanda Meng
a630,1399003993,F. Emmert-Streib
a631,1792351,M. Dehmer
a632,145181379,Robert Heckman
a633,2979685,Christophe Ley
a634,145861353,S. Bordas
a635,5201129,Tom C. Russ
a636,47874620,Eva Woelbert
a637,31973936,K. Davis
a638,5805789,J. Hafferty
a639,34561147,Zina M. Ibrahim
a640,46691130,B. Inkster
a641,145948460,A. John
a642,49627079,William E. Lee
a643,145449141,M. Maxwell
a644,144477665,A. McIntosh
a645,47116401,R. Stewart
a646,2105359847,Margaret Kate Suzy Anna Felicity Kathy Matt James Katrina A Anderson Aylett Bourke Burhouse Callard Chapman Co
a647,2109787720,Margaret Anderson
a648,1454026625,Kate Aylett
a649,51055816,Suzy Bourke
a650,4599272,Anna Burhouse
a651,1928236,F. Callard
a652,2055921365,K. Chapman
a653,2058866148,Matt Cowley
a654,1454010248,J. Cusack
a655,2086256629,Jaime Delgadillo
a656,2074476734,Sophie Dix
a657,50673014,R. Dobson
a658,46301965,G. Donohoe
a659,39236860,J. Downs
a660,152270656,H. Fisher
a661,2133517,A. Folarin
a662,2059854813,T. Foley
a663,2483762,J. Geddes
a664,1454010278,Joardana Globerman
a665,50474096,Lamiece Hassan
a666,49783756,Joseph Hayes
a667,1454009689,H. Hodges
a668,1454021330,Eddie Jacob
a669,38423377,R. Jacobs
a670,29910452,Cynthia Joyce
a671,1454011052,Suky Kaur
a672,18966515,M. Kerz
a673,3126437,J. Kirkbride
a674,6678880,G. Leavey
a675,144055053,G. Lewis
a676,40600726,K. Lloyd
a677,1454026376,W. Matcham
a678,2077123547,Erin McCloskey
a679,38170553,A. McQuillin
a680,1454002282,Tamsin Newlove Delgado
a681,1454021388,Catherine Newsome
a682,144031984,K. Nicodemus
a683,143653561,D. Porteous
a684,145439168,Daniel Ray
a685,1454009837,Simran Sanhu
a686,2108917090,Daniel Smith
a687,1454011231,Laura Tutu
a688,1453989286,Ayath Ullah
a689,51172935,Billie S Vance
a690,3874821,M. Wolpert
a691,1900405,C. Wyse
a692,47190052,S. Zammit
a693,46557539,Craig M. Dalton
a694,114342267,Tim Stallmann
a695,2055141989,Daniel T. Kaplan
a696,30482845,J. D. Horn
a697,145409925,Lily Fierro
a698,3054340,Jeana Kamdar
a699,145402198,Jonathan Gordon
a700,2057206378,Crystal Stewart
a701,8128377,Avnish Bhattrai
a702,2048542518,Sumiko Abe
a703,2072810516,Xiaoxia Lei
a704,1896359529,Caroline O'Driscoll
a705,31982777,Aakanchha Sinha
a706,30474196,P. Jain
a707,49581425,Gully A. Burns
a708,1782658,Kristina Lerman
a709,2887330,J. Ambite
a710,144765083,David Ribes
a711,48920896,K. Misulis
a712,1780628,M. Frisse
a713,50469411,R. D. Veaux
a714,2054506573,Mahesh Agarwal
a715,71566309,Maia Averett
a716,3222316,B. Baumer
a717,144392054,Andrew Bray
a718,2064193,T. Bressoud
a719,7822425,Lance Bryant
a720,2110384621,Lei Cheng
a721,2064227187,Amanda Francis
a722,34857486,R. Gould
a723,21353595,Albert Y. Kim
a724,9428866,Matt Kretchmar
a725,2117524113,Qin Lu
a726,52104314,Ann Moskol
a727,144336939,D. Nolan
a728,143935741,Roberto Pelayo
a729,71154894,Sean Raleigh
a730,2581042,Ricky J. Sethi
a731,10192726,Mutiara Sondjaja
a732,71873559,Neelesh Tiruviluamala
a733,2316341,P. Uhlig
a734,2219298,Talitha M. Washington
a735,17038991,Curtis L. Wesley
a736,2087047748,David L. White
a737,2068644280,Ping Ye
a738,2550392,B. Efron
a739,1784682,T. Hastie
a740,1796335,D. Blei
a741,50860274,Padhraic Smyth
a742,1409493802,Brittany Fiore-Gartland
a743,47811921,Laura Osburn
a744,33828310,Peter C. Andrews
a745,2173303,Nicole A. Lavender
a746,40217217,L. C. Kidd
a747,34796089,G. George
a748,98235886,E. Osinga
a749,33497511,Dovev Lavie
a750,144937232,Brent A. Scott
a751,2768970,H. Wickham
a752,52334464,Garrett Grolemund
a753,2107672755,H. C. Nguyen
a754,1719010,R. Zecchina
a755,144790563,J. Berg
a756,2108044212,Xinzhi Zhang
a757,1398405230,E. Perez-stable
a758,2048644,P. Bourne
a759,5191233,E. Peprah
a760,4983684,O. K. Duru
a761,144801507,N. Breen
a762,2791768,D. Berrigan
a763,2060570114,Frederick B Wood
a764,144250888,J. Jackson
a765,2070615812,David W. S. Wong
a766,26430919,J. Denny
a767,145720231,L. Hunter
a768,3075644,Martin Braschler
a769,2793787,Thilo Stadelmann
a770,1892227,Kurt Stockinger
a771,1403628339,Miguel Molina-Solana
a772,144089160,María Ros
a773,145548411,M. Ruiz
a774,1403479499,Juan Gómez-Romero
a775,1402528824,M. Martín-Bautista
a776,1403376848,Aleksandra Klašnja-Milićević
a777,144395551,M. Ivanović
a778,1712090,Z. Budimac
a779,153263448,E. Popova
a780,91769771,T. Rodgers
a781,2075407028,X. Gong
a782,26977123,A. Çeçen
a783,73349747,J. Madison
a784,1767762,S. Kalidindi
a785,1721948,S. Skiena
a786,48237809,David B. Brough
a787,2085756404,Daniel Wheeler
a788,145849830,S. Vedula
a789,145587209,N. Navab
a790,48307303,R. Kikinis
a791,2298266,A. Park
a792,49993325,H. Feußner
a793,2318564,G. Forestier
a794,2458527,S. Giannarou
a795,1756098,M. Hashizume
a796,2711047,Darko Katic
a797,2464991,M. Kranzfelder
a798,2209263,Anand Malpani
a799,2500824,K. März
a800,1993663,T. Neumuth
a801,2655297,N. Padoy
a802,2075188103,Carla M. Pugh
a803,2894418,N. Schoch
a804,2825517,D. Stoyanov
a805,144041441,Russell H. Taylor
a806,1678633,Gregory Hager
a807,1791709,P. Jannin
a808,37685644,Julia S Lowndes
a809,40049526,B. Best
a810,36285109,Courtney Scarborough
a811,10756729,J. Afflerbach
a812,4204388,Melanie Frazier
a813,1410012697,C. O’Hara
a814,2057958410,Ning Jiang
a815,49074592,B. Halpern
a816,2861665,Ivan Shamshurin
a817,1716974,Kevin Crowston
a818,2216310538,Hause Lin
a819,2454971,R. Earnshaw
a820,27533249,D. Huppenkothen
a821,48847122,A. Arendt
a822,2064479758,D. Hogg
a823,144686135,Karthik Ram
a824,2081469,J. Vanderplas
a825,2842990,A. Rokem
a826,3206748,L. Igual
a827,1816112,S. Seguí
a828,1700216,Ritu Agarwal
a829,144730302,V. Dhar
a830,144678728,C. Romero
a831,145239852,Sebastián Ventura
a832,3464005,D. Larson
a833,2964485,Victor Chang
a834,144436171,I. Song
a835,145489965,Peter Baumgartner
a836,145587210,Nassir Navab
a837,48255068,M. Waller
a838,2657436,S. Fawcett
a839,2965138,S. Leonelli
a840,1724595,M. Bichler
a841,1719645,A. Heinzl
a842,66428329,Allegra Tennis
a843,2437563,Shashank Srikant
a844,144026866,V. Aggarwal
a845,1752722,F. Provost
a846,145421658,Tom Fawcett
a847,1735128,B. Faltings
a848,2667883,Goran Radanovic
a849,1806210,J. Greenberg
a850,50663909,G. Andrienko
a851,1780833,N. Andrienko
a852,145525783,R. Weibel
a853,1933065,J. Stanton
a854,145985261,Colin Connors
a855,72217764,D. Cielen
a856,73599630,Arno D. B. Meysman
a857,2004188012,M. Ali
a858,7145974,R. Mcgranaghan
a859,2932046,A. Bhatt
a860,47691144,T. Matsuo
a861,34832883,A. Mannucci
a862,145812379,J. Semeter
a863,1403718262,S. Datta‐Barua
a864,46269169,Yiqun Xie
a865,3214518,E. Eftelioglu
a866,2230264,Reem Y. Ali
a867,1742340497,Xun Tang
a868,2152884622,Yan Li
a869,38773783,Ruhi Doshi
a870,1682824,Julia Stoyanovich
a871,1686294,Bill Howe
a872,69026873,S. Abiteboul
a873,1729605,G. Miklau
a874,1883948,A. Sahuguet
a875,1751591,G. Weikum
a876,15962009,Akhil Kadiyala
a877,2118069715,Ashok Kumar
a878,50185270,Iain Carmichael
a879,145956495,J. Marron
a880,2717327,Benjamin T. Hazen
a881,2469374,C. Boone
a882,3431302,Jeremy D. Ezell
a883,1401781163,L. A. Jones-Farmer
a884,2610212,N. Grady
a885,2061562124,Michelle Dunn
a886,1722394,S. Tonidandel
a887,3525823,E. King
a888,143754763,J. Cortina
a889,2061232700,David A. c. Beck
a890,6058100,J. Carothers
a891,2099417004,V. Subramanian
a892,6322529,J. Pfaendtner
a893,1398945328,James Max Kanter
a894,1803567,K. Veeramachaneni
