volumeId,volumeName,volumeYear
jv320,journal320,2023
jv321,journal321,2021
jv322,journal322,2021
jv323,journal323,2023
jv324,journal324,2023
jv325,journal325,2021
jv326,journal326,2020
jv327,journal327,2023
jv328,journal328,2022
jv329,journal329,2022
jv330,journal330,2020
jv331,journal331,2020
jv332,journal332,2021
jv333,journal333,2020
jv334,journal334,2022
jv335,journal335,2021
jv336,journal336,2023
jv337,journal337,2023
jv338,journal338,2023
jv339,journal339,2021
jv340,journal340,2020
jv341,journal341,2023
jv342,journal342,2020
jv343,journal343,2022
jv344,journal344,2023
jv345,journal345,2023
jv346,journal346,2021
jv347,journal347,2023
jv348,journal348,2020
jv349,journal349,2020
jv350,journal350,2021
jv351,journal351,2022
jv352,journal352,2022
jv353,journal353,2023
jv354,journal354,2022
jv355,journal355,2022
jv356,journal356,2023
jv357,journal357,2022
jv358,journal358,2023
jv359,journal359,2021
jv360,journal360,2022
jv361,journal361,2023
jv362,journal362,2022
jv363,journal363,2022
jv364,journal364,2022
jv365,journal365,2021
jv366,journal366,2023
jv367,journal367,2022
jv368,journal368,2021
jv369,journal369,2020
jv370,journal370,2023
jv371,journal371,2023
jv372,journal372,2020
jv373,journal373,2023
jv374,journal374,2021
jv375,journal375,2022
jv376,journal376,2022
jv377,journal377,2021
jv378,journal378,2021
jv379,journal379,2020
jv380,journal380,2022
jv381,journal381,2022
jv382,journal382,2022
jv383,journal383,2022
jv384,journal384,2022
jv385,journal385,2022
jv386,journal386,2023
jv387,journal387,2021
jv388,journal388,2020
jv389,journal389,2021
jv390,journal390,2023
jv391,journal391,2020
jv392,journal392,2020
jv393,journal393,2020
jv394,journal394,2022
jv395,journal395,2021
jv396,journal396,2021
jv397,journal397,2021
jv398,journal398,2020
jv399,journal399,2020
jv400,journal400,2023
jv401,journal401,2020
jv402,journal402,2023
jv403,journal403,2020
jv404,journal404,2023
jv405,journal405,2020
jv406,journal406,2020
jv407,journal407,2021
jv408,journal408,2022
jv409,journal409,2022
jv410,journal410,2023
jv411,journal411,2022
jv412,journal412,2023
jv413,journal413,2023
jv414,journal414,2023
jv415,journal415,2022
jv416,journal416,2021
jv417,journal417,2021
jv418,journal418,2020
jv419,journal419,2021
jv420,journal420,2023
jv421,journal421,2021
jv422,journal422,2021
jv423,journal423,2021
jv424,journal424,2022
jv425,journal425,2023
jv426,journal426,2020
jv427,journal427,2023
jv428,journal428,2020
jv429,journal429,2022
jv430,journal430,2022
jv431,journal431,2023
jv432,journal432,2022
