journalId,editorId,authorId
j150,editor224,a4421
j104,editor225,a9342
j151,editor226,a4105
j17,editor227,a925
j104,editor228,a164
j152,editor229,a2685
j153,editor230,a7868
j44,editor231,a6798
j154,editor232,a10472
j155,editor233,a5187
j4,editor234,a7602
j4,editor235,a4900
j156,editor236,a3233
j0,editor237,a2087
j82,editor238,a3812
j8,editor239,a3289
j23,editor240,a6162
j157,editor241,a7378
j27,editor242,a7497
j156,editor243,a1941
j158,editor244,a4351
j159,editor245,a8626
j156,editor246,a4218
j99,editor247,a9495
j156,editor248,a6656
j160,editor249,a4072
j161,editor250,a5406
j152,editor251,a4248
j4,editor252,a2452
j162,editor253,a10267
j112,editor254,a7874
j4,editor255,a9084
j163,editor256,a5466
j8,editor257,a4690
j164,editor258,a10129
j4,editor259,a7204
j4,editor260,a5441
j165,editor261,a1455
j166,editor262,a8492
j167,editor263,a1755
j168,editor264,a468
j169,editor265,a10005
j170,editor266,a2400
j171,editor267,a1042
j8,editor268,a4972
j156,editor269,a8248
j162,editor270,a6276
j4,editor271,a3731
j172,editor272,a4092
j173,editor273,a4004
j174,editor274,a2966
j4,editor275,a6243
j175,editor276,a3116
j153,editor277,a7152
j16,editor278,a2914
j176,editor279,a8856
j156,editor280,a3811
j156,editor281,a7524
j4,editor282,a2463
j177,editor283,a3494
j136,editor284,a7559
j72,editor285,a7465
j170,editor286,a8202
j178,editor287,a8321
j72,editor288,a7037
j179,editor289,a6112
j180,editor290,a9682
j181,editor291,a310
j121,editor292,a1634
j182,editor293,a1355
j183,editor294,a8119
j184,editor295,a4405
j170,editor296,a2243
j4,editor297,a2502
j143,editor298,a6645
j76,editor299,a2105
j7,editor300,a5676
j4,editor301,a4942
j135,editor302,a1396
j185,editor303,a9268
j186,editor304,a6638
j12,editor305,a1454
j187,editor306,a6621
j60,editor307,a5077
j188,editor308,a6113
j187,editor309,a4969
j4,editor310,a2855
j156,editor311,a5844
j189,editor312,a9673
j190,editor313,a9227
j23,editor314,a3851
j191,editor315,a9076
j192,editor316,a9071
j104,editor317,a3048
j193,editor318,a25
j160,editor319,a1951
j187,editor320,a1503
j194,editor321,a9560
j195,editor322,a3902
j4,editor323,a534
j196,editor324,a3837
j187,editor325,a6811
j197,editor326,a9835
j170,editor327,a707
j187,editor328,a606
j198,editor329,a6796
j199,editor330,a6486
j200,editor331,a9670
j62,editor332,a10235
j170,editor333,a5831
j170,editor334,a7112
j54,editor335,a5276
j110,editor336,a3589
j66,editor337,a6271
j153,editor338,a9099
j201,editor339,a9042
j60,editor340,a1659
j8,editor341,a10151
j187,editor342,a8438
j202,editor343,a8630
j203,editor344,a271
j0,editor345,a9547
j204,editor346,a2788
j89,editor347,a3996
j205,editor348,a7163
j104,editor349,a7136
j72,editor350,a2217
j104,editor351,a6268
j206,editor352,a10152
j207,editor353,a45
j208,editor354,a4508
j209,editor355,a9325
j210,editor356,a3407
j211,editor357,a886
j212,editor358,a9724
j213,editor359,a8460
j214,editor360,a2339
j215,editor361,a220
j216,editor362,a5009
j217,editor363,a1905
j218,editor364,a8653
j23,editor365,a9632
j219,editor366,a4125
j220,editor367,a4329
j170,editor368,a3382
j178,editor369,a2392
j216,editor370,a2346
j221,editor371,a1462
j222,editor372,a7861
j173,editor373,a9930
j223,editor374,a7182
j224,editor375,a7496
j185,editor376,a2892
j129,editor377,a2324
j225,editor378,a870
j226,editor379,a1108
j227,editor380,a5803
j228,editor381,a5140
j229,editor382,a2662
j230,editor383,a3956
j206,editor384,a7286
j231,editor385,a6789
j232,editor386,a2364
j104,editor387,a7929
j225,editor388,a3521
j213,editor389,a5934
j233,editor390,a3996
j234,editor391,a5614
j235,editor392,a7588
j236,editor393,a2715
j237,editor394,a7201
j238,editor395,a5307
j239,editor396,a4832
j240,editor397,a5270
j241,editor398,a10253
j242,editor399,a9488
j156,editor400,a7260
j65,editor401,a8609
j7,editor402,a5033
j243,editor403,a1374
j7,editor404,a3656
j244,editor405,a9536
j7,editor406,a986
j245,editor407,a9573
j246,editor408,a8439
j247,editor409,a10204
j248,editor410,a1974
j249,editor411,a6899
j152,editor412,a3121
j127,editor413,a2426
j226,editor414,a6378
j7,editor415,a8732
j250,editor416,a3033
j247,editor417,a2060
j4,editor418,a2843
j251,editor419,a8549
j7,editor420,a4759
j121,editor421,a10069
j7,editor422,a5599
j252,editor423,a3993
j253,editor424,a7624
j250,editor425,a8385
j254,editor426,a865
j255,editor427,a9816
j248,editor428,a1371
j256,editor429,a949
j137,editor430,a2951
j257,editor431,a7140
j258,editor432,a9443
j152,editor433,a4925
j259,editor434,a1540
j7,editor435,a3039
j7,editor436,a7120
j7,editor437,a8679
j260,editor438,a4530
j17,editor439,a1996
j261,editor440,a2165
j7,editor441,a4607
j262,editor442,a5252
j13,editor443,a9265
j17,editor444,a9025
j263,editor445,a4436
j249,editor446,a4617
j251,editor447,a1558
j264,editor448,a6326
j265,editor449,a6463
j266,editor450,a3402
j104,editor451,a3592
j267,editor452,a6492
j268,editor453,a4061
j269,editor454,a2776
j78,editor455,a6396
j270,editor456,a1408
j219,editor457,a7907
j271,editor458,a8136
j272,editor459,a7237
j251,editor460,a7489
j7,editor461,a1774
j273,editor462,a4465
j274,editor463,a4227
j7,editor464,a7669
j17,editor465,a2341
j275,editor466,a10203
j7,editor467,a9630
j7,editor468,a7636
j36,editor469,a9363
j248,editor470,a4091
j276,editor471,a6898
j7,editor472,a3614
j251,editor473,a849
j78,editor474,a3560
j78,editor475,a6988
j7,editor476,a172
j260,editor477,a9399
j260,editor478,a10411
j250,editor479,a9773
j69,editor480,a4771
j7,editor481,a8287
j263,editor482,a5922
j152,editor483,a4506
j277,editor484,a7482
j278,editor485,a3319
j152,editor486,a4025
j4,editor487,a1132
j279,editor488,a8393
j280,editor489,a5378
j60,editor490,a5874
j16,editor491,a5069
j281,editor492,a2905
j282,editor493,a6616
j246,editor494,a5345
j283,editor495,a975
j284,editor496,a3770
j285,editor497,a9096
j17,editor498,a9676
j286,editor499,a9501
j287,editor500,a10136
j288,editor501,a9808
j7,editor502,a4230
j278,editor503,a7588
j289,editor504,a10112
j290,editor505,a1253
j291,editor506,a6383
j104,editor507,a9596
j292,editor508,a3676
j246,editor509,a2352
j293,editor510,a8830
j294,editor511,a6670
j152,editor512,a2861
j295,editor513,a7385
j296,editor514,a4725
j297,editor515,a5103
j190,editor516,a5540
j298,editor517,a3912
j64,editor518,a7549
j96,editor519,a6138
j299,editor520,a8358
j152,editor521,a620
j300,editor522,a1058
j301,editor523,a7319
j65,editor524,a5871
j302,editor525,a8892
j258,editor526,a4766
j48,editor527,a3371
j303,editor528,a4258
j304,editor529,a4781
j219,editor530,a6105
j222,editor531,a1938
j258,editor532,a1917
j152,editor533,a8463
j305,editor534,a4959
j306,editor535,a5123
j136,editor536,a1901
j307,editor537,a9493
j219,editor538,a6825
j60,editor539,a6364
j308,editor540,a4313
j107,editor541,a6269
j258,editor542,a5310
j7,editor543,a4661
j260,editor544,a4572
j309,editor545,a10440
j310,editor546,a4145
j50,editor547,a2148
j289,editor548,a1328
j7,editor549,a7893
j311,editor550,a772
j152,editor551,a10183
j312,editor552,a9086
j78,editor553,a9485
j66,editor554,a8442
j245,editor555,a2804
j313,editor556,a2622
j65,editor557,a6058
j314,editor558,a1867
j260,editor559,a5497
j315,editor560,a3664
j316,editor561,a5834
j47,editor562,a8352
j317,editor563,a10305
j318,editor564,a8837
j229,editor565,a5583
j219,editor566,a8413
j65,editor567,a6237
j319,editor568,a8724
j7,editor569,a2040
j320,editor570,a6812
j258,editor571,a8976
j265,editor572,a10174
j7,editor573,a1758
j246,editor574,a2573
j321,editor575,a5727
j191,editor576,a2652
j322,editor577,a3799
j292,editor578,a9293
j264,editor579,a7008
j152,editor580,a597
j208,editor581,a3171
j13,editor582,a9302
j323,editor583,a9755
j304,editor584,a9569
j164,editor585,a8650
j53,editor586,a5997
j152,editor587,a5629
j7,editor588,a9241
j150,editor589,a7777
j134,editor590,a8512
j323,editor591,a9338
j7,editor592,a5258
j7,editor593,a6632
j285,editor594,a48
j324,editor595,a6645
j282,editor596,a1388
j17,editor597,a7511
j152,editor598,a4592
j185,editor599,a2480
j178,editor600,a10167
j17,editor601,a795
j325,editor602,a8856
j326,editor603,a5998
j15,editor604,a6714
j260,editor605,a71
j327,editor606,a8471
j210,editor607,a84
j226,editor608,a6349
j140,editor609,a5744
j36,editor610,a1491
j328,editor611,a5769
j185,editor612,a9906
j185,editor613,a2180
j152,editor614,a1972
j190,editor615,a9295
j7,editor616,a3425
j280,editor617,a644
j13,editor618,a10192
j329,editor619,a5144
j190,editor620,a2966
j312,editor621,a4533
j330,editor622,a4212
j152,editor623,a9236
j4,editor624,a2488
j7,editor625,a8112
j17,editor626,a3551
j244,editor627,a1216
j331,editor628,a4124
j12,editor629,a8298
j69,editor630,a10344
j60,editor631,a8074
j17,editor632,a5450
j152,editor633,a5998
j332,editor634,a9959
j333,editor635,a8915
j280,editor636,a1240
j334,editor637,a935
j335,editor638,a8421
j294,editor639,a5471
j181,editor640,a10242
j134,editor641,a5131
j190,editor642,a888
j336,editor643,a2362
j337,editor644,a1926
j312,editor645,a1360
j338,editor646,a6759
j339,editor647,a8496
j260,editor648,a2984
j16,editor649,a6721
j72,editor650,a5638
j152,editor651,a6631
j244,editor652,a7461
j50,editor653,a4929
j17,editor654,a8943
j340,editor655,a7139
j152,editor656,a8831
j341,editor657,a1013
j341,editor658,a10363
j342,editor659,a2024
j210,editor660,a8337
j336,editor661,a9626
j7,editor662,a10183
j343,editor663,a9123
j342,editor664,a4542
j190,editor665,a4120
j78,editor666,a3430
j341,editor667,a4257
j67,editor668,a3321
j344,editor669,a3597
j44,editor670,a3871
j152,editor671,a8941
j108,editor672,a2779
j134,editor673,a8049
j7,editor674,a7494
j60,editor675,a6690
j7,editor676,a6697
j345,editor677,a6186
j345,editor678,a5108
j104,editor679,a7138
j7,editor680,a6233
j346,editor681,a10031
j260,editor682,a10281
j19,editor683,a4328
j347,editor684,a5728
j173,editor685,a6261
j107,editor686,a6186
j348,editor687,a8251
j82,editor688,a7600
j349,editor689,a5098
j347,editor690,a8638
j55,editor691,a7588
j350,editor692,a5997
j6,editor693,a4561
j351,editor694,a759
j352,editor695,a4115
j181,editor696,a4139
j82,editor697,a7233
j353,editor698,a8630
j354,editor699,a7303
j355,editor700,a9477
j356,editor701,a2507
j357,editor702,a1414
j358,editor703,a4627
j359,editor704,a3040
j360,editor705,a4581
j361,editor706,a3394
j362,editor707,a1726
j107,editor708,a10295
j363,editor709,a2018
j364,editor710,a1879
j19,editor711,a9125
j365,editor712,a619
j366,editor713,a6551
j367,editor714,a10230
j368,editor715,a9967
j369,editor716,a8046
j370,editor717,a10469
j371,editor718,a5083
j173,editor719,a9129
j372,editor720,a7718
j373,editor721,a2578
j374,editor722,a3530
j4,editor723,a6757
j173,editor724,a52
j121,editor725,a838
j350,editor726,a4125
j107,editor727,a10573
j165,editor728,a652
j359,editor729,a535
j357,editor730,a7151
j375,editor731,a9685
j193,editor732,a9205
j44,editor733,a9371
j147,editor734,a1705
j343,editor735,a4872
j376,editor736,a206
j107,editor737,a1736
j357,editor738,a1768
j377,editor739,a1225
j44,editor740,a3723
j378,editor741,a5405
j193,editor742,a1446
j4,editor743,a4562
j379,editor744,a9505
j380,editor745,a4531
j381,editor746,a4304
j382,editor747,a2893
j383,editor748,a2101
j6,editor749,a8508
j107,editor750,a8917
j384,editor751,a7910
j385,editor752,a1270
j377,editor753,a9659
j193,editor754,a1040
j386,editor755,a6868
j387,editor756,a6327
j388,editor757,a1071
j389,editor758,a8489
j390,editor759,a7732
j66,editor760,a6927
j193,editor761,a6780
j391,editor762,a2404
j107,editor763,a7008
j392,editor764,a1818
j351,editor765,a7528
j193,editor766,a372
j393,editor767,a9331
j135,editor768,a7778
j113,editor769,a6176
j394,editor770,a1823
j208,editor771,a8294
j270,editor772,a6662
j107,editor773,a8611
j388,editor774,a2453
j107,editor775,a2365
j395,editor776,a7100
j396,editor777,a1913
j397,editor778,a5031
j343,editor779,a5179
j398,editor780,a9438
j399,editor781,a5416
j400,editor782,a5104
j365,editor783,a5925
j44,editor784,a9771
j104,editor785,a5615
j401,editor786,a9852
j206,editor787,a3559
j402,editor788,a3953
j214,editor789,a6290
j44,editor790,a8216
j403,editor791,a4658
j264,editor792,a4383
j404,editor793,a6695
j118,editor794,a5786
j23,editor795,a8584
j241,editor796,a2636
j405,editor797,a4528
j269,editor798,a7640
j62,editor799,a1419
j264,editor800,a594
j406,editor801,a6655
j44,editor802,a6273
j407,editor803,a2976
j29,editor804,a658
j408,editor805,a242
j409,editor806,a7184
j410,editor807,a5361
j411,editor808,a7641
j410,editor809,a9464
j412,editor810,a2045
j67,editor811,a224
j413,editor812,a5974
j414,editor813,a8429
j415,editor814,a2605
j416,editor815,a6493
j241,editor816,a7699
j60,editor817,a8729
j417,editor818,a5686
j62,editor819,a2785
j418,editor820,a8549
j264,editor821,a6094
j264,editor822,a3913
j411,editor823,a2392
j410,editor824,a7811
j419,editor825,a6933
j411,editor826,a9875
j67,editor827,a6463
j406,editor828,a7701
j419,editor829,a9069
j411,editor830,a1681
j62,editor831,a1233
j420,editor832,a1980
j406,editor833,a3011
j406,editor834,a5353
j421,editor835,a6244
j406,editor836,a2770
j67,editor837,a8891
j422,editor838,a7180
j416,editor839,a2738
j62,editor840,a1831
j12,editor841,a5146
j423,editor842,a2441
j424,editor843,a2507
j303,editor844,a2764
j67,editor845,a5809
j241,editor846,a688
j67,editor847,a815
j425,editor848,a3665
j426,editor849,a3949
j427,editor850,a10189
j423,editor851,a2119
j406,editor852,a4195
j409,editor853,a5889
j424,editor854,a10133
j268,editor855,a6319
j423,editor856,a5533
j206,editor857,a3071
j118,editor858,a8260
j419,editor859,a7436
j268,editor860,a810
j226,editor861,a8390
j428,editor862,a4156
j268,editor863,a4741
j206,editor864,a8989
j156,editor865,a6753
j241,editor866,a738
j410,editor867,a2472
j429,editor868,a5458
j424,editor869,a4976
j241,editor870,a8178
j62,editor871,a9662
j410,editor872,a4874
j419,editor873,a10496
j430,editor874,a3054
j431,editor875,a8535
j118,editor876,a4507
j241,editor877,a2047
j328,editor878,a5375
j424,editor879,a4452
j268,editor880,a1564
j424,editor881,a3712
j432,editor882,a671
j424,editor883,a8384
j241,editor884,a1364
j62,editor885,a9202
j118,editor886,a1608
j268,editor887,a5258
