journalId,journalUrl,journalTitle,journalVolumeIds,volumeName,volumeYear
j40,70337d1b-fdf7-4fcb-b391-e096feba3748,BMC Medicine,jv40,journal40,2023
j41,8b172637-3435-4dd3-a753-5035b814ff39,American Statistician,jv41,journal41,2021
j42,5821d52f-e54a-4b02-981a-dd16fec9a115,TOP - An Official Journal of the Spanish Society of Statistics and Operations Research,jv42,journal42,2022
j43,da1f558d-7744-4ce7-9b43-0a73f0057985,Journal of Library Administration,jv43,journal43,2021
j44,75d7a8c1-d871-42db-a8e4-7cf5146fdb62,Social Science Research Network,jv44,journal44,2023
j45,94cf7e5d-ed99-4849-b9b9-17ed670f5e6e,Journal of Social Computing,jv45,journal45,2023
j46,fcbcaf18-8ab1-43e1-a973-604bbc7e344e,Proceedings of the VLDB Endowment,jv46,journal46,2023
j47,9cf634df-e30b-4e2a-aeb7-84a126ce8861,Chest,jv47,journal47,2023
j48,abe20b62-4958-4cfc-a05f-b87f4051f1a9,BioScience,jv48,journal48,2023
j49,5619586e-de5a-4bc3-ac80-04dd8530d80c,Nature Biomedical Engineering,jv49,journal49,2021
j50,7b2adce0-d53f-49d6-8784-b0645604fe62,ACM Computing Surveys,jv50,journal50,2022
j51,329e28c6-84e0-4d75-a58e-ddac24c52d4e,International Journal of Population Data Science,jv51,journal51,2021
j52,fbed5c1a-cebb-4bdd-8ca8-022b3bdd9cfb,Ethnicity & Disease,jv52,journal52,2020
j53,4293c8e8-8cd7-4be6-b8b2-69f2b4fa3259,Computer Applications in Engineering Education,jv53,journal53,2021
j54,789f162c-4b52-4f36-92f2-e19de5c8af8c,Data Science,jv54,journal54,2023
j55,b7e5a3b3-2519-4ca2-8870-c2b45ef76ab9,Nature Human Behaviour,jv55,journal55,2022
j56,1ec361d9-6d57-4fd4-b0bd-c85044a7e1c3,"Science, Technology and Human Values",jv56,journal56,2020
j57,74527bdc-72cb-43a1-837d-5af4a24089b7,Environmental Modelling & Software,jv57,journal57,2020
j58,bd7cf538-b981-449d-9e6c-64fa64047126,Philosophy & Technology,jv58,journal58,2020
j59,7d2997cd-251d-4613-b0eb-d44a29a52df8,Journal of Data and Information Science,jv59,journal59,2020
j60,6c24a0a0-b07d-4d7b-a19b-fd09a3ed453a,Nature,jv60,journal60,2023
j61,510b2578-cf47-45c1-b866-c0402df7a780,Japanese Journal of Statistics and Data Science,jv61,journal61,2021
j62,c9ec8f1c-d8e0-4555-b6ca-a068b79b1e40,Business & Information Systems Engineering,jv62,journal62,2020
j63,0bf2c493-a93b-464a-b3d9-e18fbb4a7965,IEEE Computer Graphics and Applications,jv63,journal63,2022
j64,83ff973b-8a0e-4e00-a06a-2cfd9e222de9,PLoS Biology,jv64,journal64,2022
j65,b4ddf99b-89f6-42b4-8bbc-9bde693530cf,International Journal of Information Management,jv65,journal65,2021
j66,93be7524-e38d-4d5a-b7f1-bb2b08b85275,Data Science Journal,jv66,journal66,2021
j67,6b25cc59-3bb5-4b47-819e-d95ba292c4f7,Information systems research,jv67,journal67,2023
j68,435bb11d-c0fe-4815-b98e-46c313be8ce7,Journal of Decision Systems,jv68,journal68,2023
j69,e2742a49-1b55-4a31-b319-7455fa5e12d4,IEEE Transactions on Services Computing,jv69,journal69,2020
j70,dd522c0a-e715-4d95-9ed7-e60346254ddf,Statistics and computing,jv70,journal70,2020
j71,71b4e956-03b5-4545-ad85-567b2567ed26,Nursing Administration Quarterly,jv71,journal71,2023
j72,7404efea-88b2-4c7c-8cb1-b3a8ced6363f,IEEE Intelligent Systems,jv72,journal72,2020
j73,73bffa79-c19d-4df3-99ff-a2d01e3f89ae,Journal of Biomechanics,jv73,journal73,2023
j74,c737deea-2a9a-4225-aa20-19a7d1c9c702,International Journal of System Dynamics Applications,jv74,journal74,2020
j75,f3b9cfef-ea93-4f7f-a14f-95fbf796875e,IEEE Geoscience and Remote Sensing Magazine,jv75,journal75,2023
j76,9ec189b3-db0f-41d8-9c82-21ef5fa9b87e,Frontiers in Genetics,jv76,journal76,2020
j77,2a65d17a-afd8-466e-aff3-e0d0fbc84fb0,International Journal of Intelligent Computing and Cybernetics,jv77,journal77,2020
j78,e3e1f91c-fe26-4f67-8d15-f7acd8abdf42,Future generations computer systems,jv78,journal78,2021
j79,427d3401-f800-43c4-84ad-76e19faa88d0,College and Research Libraries,jv79,journal79,2020
j80,93906da2-687f-4184-8437-40998086f409,Nature Reviews Methods Primers,jv80,journal80,2020
j81,5bd34b7c-17b3-4080-96c2-50bd51fcab3a,Quantitative Science Studies,jv81,journal81,2020
j82,be3f884c-b44a-496a-a593-1cad3f89d254,BMC Bioinformatics,jv82,journal82,2021
j83,02b0e95f-1216-4dfe-b50d-fdb87b421ec8,EOS,jv83,journal83,2022
j84,8bff20bd-db46-46fa-9cc1-85f4a48942a8,Women in Sport & Physical Activity Journal,jv84,journal84,2023
j85,1a624d3a-7238-4368-b208-cdebb1e8ccc8,Nuclear Data Sheets,jv85,journal85,2022
j86,28927fa0-8dca-4082-a7d0-abd989c8ef12,Advancement of science,jv86,journal86,2020
j87,89854b22-3ed7-4225-a29b-3d9aca5f6b90,Psychological Science in the Public Interest,jv87,journal87,2023
j88,8616055e-b299-48e3-8ef3-d3483786063a,Frontiers in Climate,jv88,journal88,2021
j89,027ffd21-ebb0-4af8-baf5-911124292fd0,bioRxiv,jv89,journal89,2020
j90,7652ece8-fbd3-4050-b927-cf29d7f0eaa8,Astrophysical Journal,jv90,journal90,2023
j91,7fb6a536-d19e-4526-8585-8be7b1943478,Science Education,jv91,journal91,2020
j92,0535c107-9d95-4d92-8b39-d8eca506d035,Biological Conservation,jv92,journal92,2022
j93,849d78f8-8160-4ca1-8cd8-84253f6abdf6,American Political Science Review,jv93,journal93,2020
j94,e22bca8b-b989-4c40-9dbc-7b75f8a28673,Comprehensive Reviews in Food Science and Food Safety,jv94,journal94,2020
j95,0ab10a19-5aec-4bd0-ba95-d98d85d33643,Ecology Letters,jv95,journal95,2022
j96,341d8f49-2ea6-48ef-8053-c49cddebb1e1,MRS bulletin,jv96,journal96,2023
j97,b81a92f9-b5d3-48b2-afb5-dacad73fa6d9,MRS Communications,jv97,journal97,2023
j98,5cbedab5-cba8-430a-82af-b4d2a683e424,ICES Journal of Marine Science,jv98,journal98,2023
j99,f3157ea6-5ef2-47eb-90ca-f81947c40906,Comptes rendus. Mecanique,jv99,journal99,2020
j100,b3c3187d-18c6-4d52-8596-9c4f882f647a,Regular Issue,jv100,journal100,2020
j101,16c9f9d4-bee1-435d-8c85-22a3deba109d,Physical Review Letters,jv101,journal101,2021
j102,8ec18bc5-9c95-446c-a293-735d7ae1e3e9,Perspectives on Psychological Science,jv102,journal102,2020
j103,70628d6a-97aa-4571-9701-bc0eb3989c32,IEEE Transactions on Geoscience and Remote Sensing,jv103,journal103,2020
j104,f59506a8-d8bb-4101-b3d4-c4ac3ed03dad,Science,jv104,journal104,2022
j105,f80a2e54-1332-48bf-9634-4b2f77fca809,Data Intelligence,jv105,journal105,2022
j106,d66cff25-03a5-432c-b3c8-fbdc87233070,Methods in Ecology and Evolution,jv106,journal106,2020
j107,da96c220-cd39-4894-bae6-d2d77c8e7aa9,Nucleic Acids Research,jv107,journal107,2020
j108,36d2be9e-7824-4614-a901-dd808a6e2e49,Social Science Research,jv108,journal108,2023
j109,58668f21-815a-4b30-af06-ced21bfb2fa6,Earth and Space Science,jv109,journal109,2020
j110,96c1b36d-3833-4ec5-8806-48b8a93f901d,Scientometrics,jv110,journal110,2020
j111,5218cd8f-e9a8-4825-8fcf-ffab8230c857,Public Understanding of Science,jv111,journal111,2023
j112,9efb20cf-7484-450d-8245-12dfbf639d3e,Environmental Science and Technology,jv112,journal112,2021
j113,3418dc73-cff9-4be2-882e-5014f80264c1,Behavior Research Methods,jv113,journal113,2022
j114,de65147c-93c3-463a-a8b3-ecf04051fd1a,Astronomy & Astrophysics,jv114,journal114,2021
j115,43d8ff46-e680-4c40-84dc-a8f86d3f559b,Cambridge International Law Journal,jv115,journal115,2023
j116,3286b810-5251-4142-a03d-c7c20b90fd89,Clinical and Translational Science,jv116,journal116,2022
j117,e739a034-cba8-40e0-acd3-6ee2a22c62e0,Earth-Science Reviews,jv117,journal117,2020
j118,5e19119a-7591-4c54-8255-61a8db3575d5,Review of Economics and Statistics,jv118,journal118,2022
j119,90b0ab9d-99a4-4572-b8e0-b404e618873d,International Journal of Exercise Science,jv119,journal119,2022
j120,5ed9f470-65a3-4077-8dab-163b0c5cb9e6,Artificial Life,jv120,journal120,2023
j121,43b3f0f9-489a-4566-8164-02fafde3cd98,Nature Communications,jv121,journal121,2020
j122,17c57465-210d-4f43-a033-59d25938d6b6,American Journal of Political Science,jv122,journal122,2022
j123,f9ed10b1-8312-414e-a948-49bbffb263bf,Ambio,jv123,journal123,2021
j124,8e7d91d2-bc50-4bc6-8350-1bd4b4fdab9b,Medicine & Science in Sports & Exercise,jv124,journal124,2020
j125,2115dc5e-9318-4ae7-b64c-0948fd079390,Environmental Reviews,jv125,journal125,2023
j126,883c4931-50cd-44e1-a9cb-06b9f8a104a5,EMBO Reports,jv126,journal126,2021
j127,b08588b2-9ba8-4469-a6d4-f0b88977b64f,Journal of Evidence-Based Medicine,jv127,journal127,2020
j128,9eb2f5b8-afd8-467c-afe3-a65fd0a13773,Political Science Research and Methods,jv128,journal128,2021
j129,e11b7956-33a9-4065-932c-790ac67efcd1,Space Science Reviews,jv129,journal129,2022
j130,171758eb-39e1-4665-a00d-dd65ec7d465e,Political Analysis,jv130,journal130,2022
j131,07a1179a-6cc7-4fad-b1f1-783a66be9a1a,Conservation Biology,jv131,journal131,2023
j132,19c7a16a-8ffe-45d4-863e-7e1cc8a78b4d,Statistical analysis and data mining,jv132,journal132,2022
j133,7b19fb63-6e4e-4972-bd80-9e2b17941c95,Royal Society Open Science,jv133,journal133,2020
j134,ee2dd599-75c3-4b69-b970-053972631b37,Big Data Research,jv134,journal134,2021
j135,0aed7a40-85f3-4c66-9e1b-c1556c57001b,PLoS ONE,jv135,journal135,2022
j136,63f2d4cb-31e9-465e-a09f-a48b034b7210,EURASIP Journal on Advances in Signal Processing,jv136,journal136,2022
j137,142347a8-a3f6-4ce4-bc56-09bc8fc9461d,Frontiers in Medicine,jv137,journal137,2023
j138,48dc0292-18d9-4ef1-ae2e-ee6b4a22dc0b,Publications of the Astronomical Society of the Pacific,jv138,journal138,2023
j139,a1b87795-fe1f-4a43-bc4b-97b90f5bc75b,Sociological Methods & Research,jv139,journal139,2023
j140,dc6419f3-98b3-4718-bba0-6b6d6c3d192b,JMIR Medical Informatics,jv140,journal140,2020
j141,3687b41d-efd9-4e36-9cc1-0a6d6596b266,Applied Physics Reviews,jv141,journal141,2022
j142,09a61721-0363-4426-9f33-3c4c8580b890,Sustainability Science,jv142,journal142,2022
j143,2a815c92-821c-4932-b60c-7785ee69acb0,Annals of Data Science,jv143,journal143,2023
j144,3567d187-af59-4171-97a3-abc4d6beb1bf,"Marketing science (Providence, R.I.)",jv144,journal144,2022
j145,a990ee76-444c-4bda-b714-df4dad0efa5d,Psychology Science,jv145,journal145,2023
j146,969f020f-55f8-4f57-9d3a-61542e237f8a,Immunologic research,jv146,journal146,2020
j147,982ee153-9191-4993-89ff-b61eb14cdfcb,Astrophysical Journal Supplement Series,jv147,journal147,2022
j148,f99f77b7-b1b6-44d3-984a-f288e9884b9b,Scientific Reports,jv148,journal148,2023
j149,76ab3377-0a5b-4243-9b06-e2eede0f20de,Trends in Ecology & Evolution,jv149,journal149,2023
j150,0a8df943-e5dc-4a57-b26f-ca35e4e09a97,SIAM Journal on Mathematics of Data Science,jv150,journal150,2022
j151,1196488a-e9f3-43c5-84ae-d934dd84ccbf,Prevention Science,jv151,journal151,2021
j152,2633f5b2-c15c-49fe-80f5-07523e770c26,IEEE Access,jv152,journal152,2023
j153,e6bfdcb4-2a51-40d0-bba8-df275f223711,The VLDB journal,jv153,journal153,2023
j154,be0ad9ff-aa43-4af1-b3b5-4a41c9f81cb0,Datenbank-Spektrum,jv154,journal154,2023
j155,73bf3963-6938-4ad9-8c87-3219076ef80f,i-manager's Journal on Cloud Computing,jv155,journal155,2021
j156,2f5d0e8a-faad-4f10-b323-2b2e3c439a78,Lecture Notes in Computer Science,jv156,journal156,2022
j157,86aa7a26-a67a-4834-a2f2-1f9a941aff79,Journal of Industrial and Production Engineering,jv157,journal157,2022
j158,5cfd7427-4628-4dbe-999a-d4802552a21d,Key Engineering Materials,jv158,journal158,2022
j159,e4866174-bf20-4fac-a8e3-2f02202f3cd8,Computers and Chemical Engineering,jv159,journal159,2023
j160,f9c1272f-e8c2-4e8c-bdae-fc9c2bb2cb85,Archives of Computational Methods in Engineering,jv160,journal160,2023
j161,8a0980bd-6267-402d-9632-54bdf4f38379,Journal of Medical Engineering & Technology,jv161,journal161,2021
j162,119227a6-1b94-433e-a52d-8445a387dbbe,IEEE Software,jv162,journal162,2022
j163,722543dd-21f3-4b3c-941b-1045b173ec51,Nature Reviews Materials,jv163,journal163,2023
j164,cb38a4ef-49af-4068-b009-fa12761253f0,Annual Review of Chemical and Biomolecular Engineering,jv164,journal164,2020
j165,aabd4314-5af1-4ee4-af7e-a012aade1650,Bulletin of Earthquake Engineering,jv165,journal165,2020
j166,01344f52-6324-42d8-8a68-e00bf2e00ce6,Journal of Chemical and Engineering Data,jv166,journal166,2020
j167,501d412d-8d7a-4980-ae5b-6639fe31aee2,First Monday,jv167,journal167,2023
j168,db36cc4c-07df-41a8-9169-9ace7e520923,Nature Reviews. Cancer,jv168,journal168,2021
j169,db4b98e5-3f60-4140-b07c-7b9d73023183,Annual Review of Fluid Mechanics,jv169,journal169,2020
j170,c99cfe66-b71c-4ca4-bedd-26267b9cb068,IEEE Transactions on Software Engineering,jv170,journal170,2021
j171,e0dbf116-86aa-418d-859f-a49952d7e44a,Transactions of the Association for Computational Linguistics,jv171,journal171,2023
j172,0730105a-4941-449f-9450-28cba8ae056b,ACM Transactions on Software Engineering and Methodology,jv172,journal172,2022
j173,25248f80-fe99-48e5-9b8e-9baef3b8e23b,IEEE Transactions on Pattern Analysis and Machine Intelligence,jv173,journal173,2022
j174,086b0aef-7d17-4f72-8dc3-22252e8a5201,Acta Numerica,jv174,journal174,2022
j175,2e2fed97-17e5-488e-9efa-833a387a842d,IEEE Internet Computing,jv175,journal175,2020
j176,1a9e7b2f-006f-4b8a-9d95-594c1f36e68a,Earthquake spectra,jv176,journal176,2022
j177,8664a0b8-3299-4a1d-9df4-01cbfb1ed679,Computers & industrial engineering,jv177,journal177,2020
j178,9abcecc2-be15-4a05-9b21-dda38f5a8161,Data & Knowledge Engineering,jv178,journal178,2021
j179,e123355e-3351-4903-8f27-7d1121bf76d3,Bulletin of Engineering Geology and the Environment,jv179,journal179,2022
j180,c3e5f1c8-9ba7-47e5-acde-53063a69d483,Future Internet,jv180,journal180,2021
j181,f62e5eab-173a-4e0a-a963-ed8de9835d22,IEEE Signal Processing Magazine,jv181,journal181,2023
j182,f0cc4e02-d867-4924-88bd-97dd3580ee17,Concurrent Engineering - Research and Applications,jv182,journal182,2022
j183,a8bb8488-3e7d-4741-baad-24cc574b5336,Innovations in Systems and Software Engineering,jv183,journal183,2023
j184,c16064f2-6ce5-4d27-a13c-4f9a0210ceb6,Journal of computing in civil engineering,jv184,journal184,2023
j185,6faaccca-1cc4-45a9-aeb6-96a4901d2606,Proceedings of the IEEE,jv185,journal185,2021
j186,4fc76374-5a11-4db5-9854-03066e38c35c,Open Engineering,jv186,journal186,2021
j187,f528e58c-0e4e-45b0-9456-832847244f0e,Empirical Software Engineering,jv187,journal187,2023
j188,2bdcd966-6d92-4d55-b1a7-21d3f6933a2a,Journal of Tissue Engineering and Regenerative Medicine,jv188,journal188,2020
j189,7cee6583-4bbf-4d20-984b-de35257cb08a,Frontiers of Engineering Management,jv189,journal189,2023
j190,3b4e0d11-3211-4ead-848c-99928b5ef30e,IEEE Network,jv190,journal190,2022
j191,ec497fa8-833a-4d68-873a-539c20989c22,Advanced Engineering Informatics,jv191,journal191,2021
j192,6277ecc4-aad6-4158-be73-71bd7769430d,Journal of Synchrotron Radiation,jv192,journal192,2021
j193,bb27e645-e57c-42c3-bcbc-c7b443c58209,Nature Genetics,jv193,journal193,2023
j194,55947a97-0857-446c-ba4d-95fcaf7271e6,Tissue Engineering. Part A,jv194,journal194,2022
j195,4e5cb97d-ea4b-4096-a3a7-7e57677a366d,IEEE Transactions on Learning Technologies,jv195,journal195,2023
j196,3da56ce6-4a70-402c-a8b0-7dd39a3273d3,"Software, Practice & Experience",jv196,journal196,2021
j197,33092303-6879-4bbc-96b9-eab10cc8ac1b,Biomedical Engineering Letters,jv197,journal197,2023
j198,6d4c59ac-2a12-4855-be38-f10050b57b43,Environmental Science,jv198,journal198,2023
j199,7211ceb6-7c4e-4c07-a0a0-898e76569d71,European Journal of Engineering Education,jv199,journal199,2022
j200,05f07129-5526-4754-baa0-d919347a6089,International Journal of Digital Curation,jv200,journal200,2022
j201,c22e7c36-3bfa-43e1-bb7b-edccdea2a780,Journal of machine learning research,jv201,journal201,2023
j202,2ac50919-507e-41c7-93a8-721c4b804757,IEEE Transactions on Neural Networks,jv202,journal202,2020
j203,3946d470-e4e4-4fbb-84bc-b08e208f0cc0,Journal of Global Optimization,jv203,journal203,2021
j204,31a43b33-fe59-43c8-8027-58b6a6298bd9,Journal of microelectromechanical systems,jv204,journal204,2023
j205,dcc71bf1-b117-4dfa-8438-cbf5efdf7aa1,Microbiology and Molecular Biology Reviews,jv205,journal205,2020
j206,f6572f66-2623-4a5e-b0d9-4a5028dea98f,Computer,jv206,journal206,2020
j207,ea6f8e73-16d8-4fe3-84e3-d8e396737c19,Management Sciences,jv207,journal207,2022
j208,477368e9-7a8e-475a-8c93-6d623797fd06,Multimedia tools and applications,jv208,journal208,2023
j209,ba560e30-4944-4dde-ac86-d977062fe0c5,ACS Synthetic Biology,jv209,journal209,2020
j210,a1b15bc8-157e-45a9-b4c8-8211f938775d,IEEE Communications Magazine,jv210,journal210,2022
j211,1ee52b4c-8c57-4d60-aead-d9ef4255f1e9,IEEE Transactions on Automation Science and Engineering,jv211,journal211,2022
j212,d263025a-9eaf-443f-9bbf-72377e8d22a6,Data mining and knowledge discovery,jv212,journal212,2020
j213,899831a7-9af2-403b-b185-fa56c8634454,IEEE transactions on engineering management,jv213,journal213,2020
j214,f44976b5-2cb9-402a-bc59-6a174239987b,Nature reviews genetics,jv214,journal214,2022
j215,d0418d89-4399-4075-8bea-91bda7465d80,Optimization and Engineering,jv215,journal215,2020
j216,ca4b3aef-bda7-47fe-b7e5-4f9cd6cb1947,Technometrics,jv216,journal216,2022
j217,7bb2b6aa-8682-44b5-99c3-dee7643f795a,Journal of Biological Engineering,jv217,journal217,2021
j218,74354a44-4ffc-4c14-b0f4-f5dde6c5b730,Annals medicus,jv218,journal218,2022
j219,ff159887-5591-495e-8a29-710e87e64127,International Journal of Production Research,jv219,journal219,2020
j220,d029f971-f74c-41ca-8373-1b713414c797,Journal of Computing and Information Science in Engineering,jv220,journal220,2021
j221,2e5b2b9d-b39f-4cf0-ae86-4c9ff4011524,Nature Reviews Microbiology,jv221,journal221,2021
j222,7c9d091e-015e-4e5d-a11f-9bc369fcf414,IEEE Transactions on Parallel and Distributed Systems,jv222,journal222,2022
j223,fe9174dc-ba90-4d03-929c-4edaf60d2a64,Requirements Engineering,jv223,journal223,2020
j224,531857f6-9939-49ce-8fd7-06ca92a6a921,Journal of Systems Science and Systems Engineering,jv224,journal224,2021
j225,3bff011d-f05b-46ec-b123-beabcc2a1ba5,Molecular Systems Biology,jv225,journal225,2020
j226,bc2801b8-b059-4ee4-be9a-cd1943f45bf3,Information Systems,jv226,journal226,2020
j227,bf4f3691-52d9-45ed-8507-6ace40c604d4,International Journal of Information Quality,jv227,journal227,2023
j228,b13c1aa5-5899-45c8-9d9b-e8c213fdc308,Computational Geosciences,jv228,journal228,2022
j229,c43b45aa-3d1a-46b5-a46c-0671bd304156,Journal on Data Semantics,jv229,journal229,2023
j230,5b12c785-cf12-40ca-b4d1-aefd13b26e39,Intelligent Data Analysis,jv230,journal230,2023
j231,018e5d9a-423b-4eb6-a175-9058b4a65736,International Journal of Data Analysis Techniques and Strategies,jv231,journal231,2020
j232,39da5af4-7f26-4cc8-8363-968068328ded,Biotechnology Journal,jv232,journal232,2022
j233,68f20e73-515e-4c73-9cd5-5684926b45f7,IEEE Journal on Selected Areas in Communications,jv233,journal233,2022
j234,d406a3f4-dc05-43be-b1f6-812f29de9c0e,IEEE Transactions on Information Forensics and Security,jv234,journal234,2023
j235,406c7503-3428-45f4-97b8-d2930b1b9e22,Journal of Applied Probability,jv235,journal235,2020
j236,3a0340a2-0804-47d7-9734-55aad610ead1,Journal of Aerospace Computing Information and Communication,jv236,journal236,2023
j237,821c6dd5-6b19-4a77-914d-a1cb54aec96d,Critical Care Medicine,jv237,journal237,2023
j238,1236e136-01b7-42d5-8c4a-593153a3ab37,Journal of Open Source Software,jv238,journal238,2022
j239,0cc484fd-832a-417b-9c05-01adc7f7c74f,Molecular Plant,jv239,journal239,2022
j240,40d6d72b-fb7c-4fa0-98c0-2f72f340fed4,Iraqi Journal for Computers and Informatics,jv240,journal240,2021
j241,50d67c12-b49a-4957-963e-92cfbb2a86a2,Harvard Business Review,jv241,journal241,2020
j242,100ffd12-b334-4f02-826b-8ac408e7df49,International Journal for Research in Applied Science and Engineering Technology,jv242,journal242,2021
j243,5faaa538-f6a0-4867-b6f9-c0dedc4fd2de,The Information Society,jv243,journal243,2021
j244,69c55941-42d0-4d07-bc3f-9a98c51b8fe7,The International Journal of Advanced Manufacturing Technology,jv244,journal244,2022
j245,5dc79bde-acf4-4b60-b7ad-5bb769def869,The Review of financial studies,jv245,journal245,2022
j246,228761ec-c40a-479b-8309-9dcbe9851bcd,IEEE Internet of Things Journal,jv246,journal246,2021
j247,fa8d1257-1eac-4ab9-a703-8b639ab83c3d,British Journal of Management,jv247,journal247,2021
j248,fa31ff53-6717-46c5-934d-9f21c27f96ba,Big Data Mining and Analytics,jv248,journal248,2020
j249,85a69b03-d2bf-4387-bc2f-98b2fe823b23,Enterprise Information Systems,jv249,journal249,2023
j250,9e995b6d-f30b-4ab4-a13b-3dc2cc992f47,Nature Network Boston,jv250,journal250,2021
j251,ccd6a358-7326-42a7-95e5-bd515c9b5e6c,Management Decision,jv251,journal251,2020
j252,2d566e52-4ac0-4cfe-ad58-646e5d26e286,Annual Review of Pharmacology and Toxicology,jv252,journal252,2023
j253,f22e1b5b-b6d7-45c1-a31e-40ebea2fd729,Review of Research in Education,jv253,journal253,2022
j254,e46002a1-d7a6-4681-aae9-36bc3a6a1f93,Information Sciences,jv254,journal254,2020
j255,4bb62465-2dd3-4eca-923f-4649b9dea666,The Lancet Oncology,jv255,journal255,2023
j256,48fabb98-feb7-4ad6-a81c-bb2f9a779eb2,Cities,jv256,journal256,2020
j257,f1cd35f5-674c-4432-8d98-39515dc35220,"International Journal of Minerals, Metallurgy, and Materials",jv257,journal257,2022
j258,2135230a-3b24-4b71-9583-60624389377a,IEEE Transactions on Industrial Informatics,jv258,journal258,2020
j259,99b00e0c-56b4-4079-91b7-0fa64b30b1ca,Gut,jv259,journal259,2021
j260,9cc701cf-1f49-4121-8ea9-11bac24d61ad,IEEE Transactions on Big Data,jv260,journal260,2020
j261,247cac2c-d387-4a11-acb8-59fcae2e52b0,American Journal of Epidemiology,jv261,journal261,2023
