conferenceId,chairId,authorId
c6,chair241,a1019
c84,chair242,a8799
c88,chair243,a1544
c74,chair244,a6719
c6,chair245,a2687
c4,chair246,a4875
c72,chair247,a7696
c46,chair248,a6919
c110,chair249,a8747
c119,chair250,a3111
c27,chair251,a803
c50,chair252,a761
c41,chair253,a1784
c76,chair254,a5735
c81,chair255,a9309
c28,chair256,a9861
c21,chair257,a6704
c98,chair258,a5342
c20,chair259,a7161
c15,chair260,a4868
c77,chair261,a7456
c101,chair262,a3484
c29,chair263,a3554
c110,chair264,a10115
c30,chair265,a3203
c44,chair266,a3749
c21,chair267,a6738
c3,chair268,a9742
c92,chair269,a1604
c117,chair270,a1485
c31,chair271,a1787
c68,chair272,a4479
c26,chair273,a6004
c65,chair274,a5061
c103,chair275,a5813
c32,chair276,a7919
c44,chair277,a3536
c33,chair278,a9864
c34,chair279,a6193
c35,chair280,a9699
c36,chair281,a9049
c11,chair282,a6238
c50,chair283,a4437
c56,chair284,a2016
c37,chair285,a8434
c73,chair286,a1617
c112,chair287,a7364
c44,chair288,a6144
c38,chair289,a2537
c7,chair290,a2269
c18,chair291,a6826
c118,chair292,a5561
c110,chair293,a8065
c56,chair294,a10095
c90,chair295,a6633
c60,chair296,a7870
c78,chair297,a3561
c39,chair298,a5849
c40,chair299,a721
c57,chair300,a10316
c92,chair301,a1875
c56,chair302,a8856
c77,chair303,a8430
c22,chair304,a280
c45,chair305,a4059
c41,chair306,a5757
c105,chair307,a9449
c54,chair308,a2052
c105,chair309,a1753
c42,chair310,a2405
c105,chair311,a2428
c43,chair312,a1643
c71,chair313,a8993
c65,chair314,a6576
c58,chair315,a2253
c49,chair316,a2712
c24,chair317,a3726
c12,chair318,a9983
c55,chair319,a5776
c82,chair320,a9640
c19,chair321,a4833
c5,chair322,a9663
c43,chair323,a7308
c119,chair324,a7382
c110,chair325,a33
c23,chair326,a7829
c81,chair327,a5944
c44,chair328,a8754
c81,chair329,a10273
c45,chair330,a4913
c46,chair331,a966
c24,chair332,a4652
c72,chair333,a7615
c54,chair334,a1259
c116,chair335,a9165
c101,chair336,a1827
c115,chair337,a2350
c41,chair338,a7241
c46,chair339,a6092
c71,chair340,a843
c48,chair341,a10302
c6,chair342,a9044
c77,chair343,a5551
c6,chair344,a10539
c21,chair345,a10388
c39,chair346,a9765
c121,chair347,a2235
c28,chair348,a1571
c47,chair349,a1924
c6,chair350,a7017
c48,chair351,a2382
c49,chair352,a4077
c74,chair353,a4721
c22,chair354,a2722
c12,chair355,a5767
c81,chair356,a6827
c72,chair357,a6039
c46,chair358,a1020
c50,chair359,a1434
c51,chair360,a9621
c52,chair361,a4717
c2,chair362,a7579
c107,chair363,a8528
c23,chair364,a9200
c38,chair365,a4808
c121,chair366,a4157
c108,chair367,a5586
c2,chair368,a7136
c5,chair369,a7928
c50,chair370,a5127
c76,chair371,a5834
c53,chair372,a6106
c97,chair373,a1705
c54,chair374,a4377
c9,chair375,a8112
c44,chair376,a3319
c97,chair377,a3515
c24,chair378,a7899
c54,chair379,a8644
c62,chair380,a9164
c20,chair381,a4344
c21,chair382,a2100
c51,chair383,a928
c103,chair384,a9205
c96,chair385,a5963
c55,chair386,a623
c59,chair387,a2343
c120,chair388,a9885
c99,chair389,a10520
c42,chair390,a6507
c112,chair391,a6752
c4,chair392,a10476
c22,chair393,a6268
c106,chair394,a3912
c2,chair395,a3115
c112,chair396,a1094
c22,chair397,a2670
c74,chair398,a6781
c4,chair399,a3171
c90,chair400,a4110
c53,chair401,a5570
c19,chair402,a9741
c65,chair403,a3082
c82,chair404,a455
c113,chair405,a3203
c56,chair406,a369
c57,chair407,a8398
c89,chair408,a2242
c58,chair409,a9156
c2,chair410,a7583
c50,chair411,a10520
c2,chair412,a2353
c12,chair413,a3394
c50,chair414,a5920
c9,chair415,a933
c2,chair416,a10084
c104,chair417,a1224
c15,chair418,a4108
c30,chair419,a5288
c13,chair420,a6932
c54,chair421,a5369
c92,chair422,a5454
c2,chair423,a6628
c81,chair424,a9385
c9,chair425,a5384
c39,chair426,a4911
c92,chair427,a7679
c4,chair428,a7159
c37,chair429,a6259
c68,chair430,a9273
c59,chair431,a5735
c4,chair432,a1362
c60,chair433,a7795
c83,chair434,a10405
c108,chair435,a2687
c114,chair436,a10359
c12,chair437,a10418
c38,chair438,a9804
c61,chair439,a10063
c44,chair440,a5527
c62,chair441,a3722
c63,chair442,a7396
c64,chair443,a8313
c106,chair444,a7480
c116,chair445,a7835
c65,chair446,a2297
c66,chair447,a3848
c79,chair448,a7815
c60,chair449,a1945
c65,chair450,a646
c77,chair451,a8364
c9,chair452,a4342
c60,chair453,a10237
c31,chair454,a3578
c68,chair455,a5772
c37,chair456,a4319
c66,chair457,a8406
c1,chair458,a3089
c85,chair459,a9350
c20,chair460,a1711
c86,chair461,a3892
c49,chair462,a5485
c67,chair463,a4186
c88,chair464,a10303
c29,chair465,a4699
c68,chair466,a7819
c12,chair467,a2993
c65,chair468,a6442
c81,chair469,a6720
c97,chair470,a6644
c60,chair471,a7453
c12,chair472,a1358
c64,chair473,a6515
c73,chair474,a9391
c115,chair475,a10507
c51,chair476,a10220
c74,chair477,a9117
c27,chair478,a3601
c69,chair479,a7390
c36,chair480,a4725
c41,chair481,a5402
c45,chair482,a10429
c8,chair483,a3752
c112,chair484,a3877
c24,chair485,a4945
c79,chair486,a2067
c70,chair487,a4387
c71,chair488,a7444
c110,chair489,a5032
c71,chair490,a4626
c67,chair491,a1481
c3,chair492,a1318
c9,chair493,a1184
c51,chair494,a7253
c103,chair495,a532
c4,chair496,a8140
c2,chair497,a4264
c83,chair498,a4387
c107,chair499,a3367
c55,chair500,a3444
c43,chair501,a3861
c106,chair502,a7322
c117,chair503,a8149
c72,chair504,a1803
c22,chair505,a8274
c93,chair506,a2774
c69,chair507,a6185
c6,chair508,a711
c45,chair509,a8239
c41,chair510,a9743
c80,chair511,a6701
c60,chair512,a5852
c100,chair513,a7347
c21,chair514,a8411
c2,chair515,a9699
c26,chair516,a3261
c2,chair517,a93
c16,chair518,a3867
c37,chair519,a3883
c105,chair520,a9976
c25,chair521,a7667
c71,chair522,a7395
c31,chair523,a6501
c115,chair524,a3938
c73,chair525,a2932
c31,chair526,a2786
c34,chair527,a3048
c49,chair528,a8918
c78,chair529,a8974
c69,chair530,a9344
c74,chair531,a295
c76,chair532,a838
c74,chair533,a703
c53,chair534,a10389
c111,chair535,a3152
c75,chair536,a1901
c70,chair537,a5688
c42,chair538,a4557
c97,chair539,a3482
c3,chair540,a4381
c16,chair541,a6816
c0,chair542,a3984
c15,chair543,a4089
c3,chair544,a903
c107,chair545,a6158
c7,chair546,a3987
c87,chair547,a7892
c98,chair548,a6695
c76,chair549,a9705
c98,chair550,a4049
c22,chair551,a9851
c15,chair552,a9009
c88,chair553,a9814
c49,chair554,a8112
c8,chair555,a5043
c1,chair556,a3896
c84,chair557,a9308
c55,chair558,a3751
c94,chair559,a4590
c84,chair560,a8807
c23,chair561,a9159
c79,chair562,a1498
c53,chair563,a1135
c77,chair564,a1145
c115,chair565,a6731
c6,chair566,a7635
c70,chair567,a8736
c78,chair568,a4994
c21,chair569,a4872
c6,chair570,a4237
c79,chair571,a6648
c89,chair572,a2375
c80,chair573,a8109
c48,chair574,a8095
c74,chair575,a2117
c58,chair576,a5143
c58,chair577,a2195
c42,chair578,a3907
c2,chair579,a5117
c23,chair580,a4665
c4,chair581,a6842
c51,chair582,a5112
c80,chair583,a2710
c58,chair584,a1536
c62,chair585,a5858
c121,chair586,a2552
c90,chair587,a6724
c81,chair588,a3843
c91,chair589,a2943
c46,chair590,a10502
c85,chair591,a6417
c9,chair592,a1156
c15,chair593,a364
c17,chair594,a6201
c33,chair595,a3914
c42,chair596,a379
c32,chair597,a3807
c22,chair598,a8585
c11,chair599,a6043
c58,chair600,a7268
c1,chair601,a1758
c19,chair602,a6549
c35,chair603,a4395
c10,chair604,a9367
c116,chair605,a974
c67,chair606,a6631
c39,chair607,a10537
c18,chair608,a4578
c98,chair609,a6214
c13,chair610,a1039
c68,chair611,a7380
c15,chair612,a3163
c36,chair613,a7940
c90,chair614,a7247
c79,chair615,a6957
c103,chair616,a2605
c42,chair617,a3285
c103,chair618,a2841
c0,chair619,a9567
c73,chair620,a3312
c33,chair621,a5713
c81,chair622,a4761
c119,chair623,a671
c96,chair624,a4003
c66,chair625,a8153
c54,chair626,a120
c112,chair627,a3959
c65,chair628,a5976
c18,chair629,a571
c91,chair630,a1994
c7,chair631,a5286
c81,chair632,a3482
c7,chair633,a7977
c82,chair634,a6519
c77,chair635,a2772
c7,chair636,a6898
c83,chair637,a2713
c82,chair638,a2607
c27,chair639,a806
c68,chair640,a5614
c1,chair641,a6610
c27,chair642,a5741
c18,chair643,a10112
c39,chair644,a7910
c110,chair645,a3099
c88,chair646,a3811
c107,chair647,a7413
c53,chair648,a5943
c19,chair649,a10453
c109,chair650,a2538
c3,chair651,a7962
c47,chair652,a2161
c66,chair653,a9779
c85,chair654,a4238
c90,chair655,a3299
c14,chair656,a1000
c61,chair657,a2869
c38,chair658,a5387
c59,chair659,a2371
c108,chair660,a7238
c59,chair661,a7879
c22,chair662,a8705
c115,chair663,a1893
c80,chair664,a6019
c18,chair665,a7965
c9,chair666,a258
c3,chair667,a4433
c51,chair668,a9662
c77,chair669,a8776
c19,chair670,a10429
c57,chair671,a6207
c84,chair672,a4984
c115,chair673,a2048
c84,chair674,a764
c89,chair675,a4300
c105,chair676,a3201
c85,chair677,a6285
c104,chair678,a8385
c98,chair679,a6762
c22,chair680,a2548
c43,chair681,a6389
c64,chair682,a6804
c85,chair683,a2480
c60,chair684,a7481
c19,chair685,a3163
c5,chair686,a6768
c62,chair687,a10118
c75,chair688,a2526
c86,chair689,a2814
c49,chair690,a10200
c21,chair691,a945
c60,chair692,a8085
c89,chair693,a1876
c35,chair694,a5157
c27,chair695,a9620
c63,chair696,a3033
c66,chair697,a923
c45,chair698,a1533
c83,chair699,a7348
c72,chair700,a7234
c98,chair701,a5366
c121,chair702,a1056
c109,chair703,a4995
c71,chair704,a2100
c48,chair705,a3652
c19,chair706,a6360
c114,chair707,a669
c82,chair708,a5829
c121,chair709,a4603
c40,chair710,a10268
c94,chair711,a1698
c120,chair712,a3143
c40,chair713,a5331
c16,chair714,a7763
c87,chair715,a3754
c7,chair716,a3326
c58,chair717,a2849
c6,chair718,a3609
c86,chair719,a9708
c42,chair720,a6143
c67,chair721,a2272
c66,chair722,a8300
c6,chair723,a8614
c48,chair724,a6824
c78,chair725,a8581
c99,chair726,a3356
c117,chair727,a192
c100,chair728,a7100
c10,chair729,a7028
c116,chair730,a2905
c89,chair731,a3771
c92,chair732,a3909
c4,chair733,a7700
c88,chair734,a4339
c16,chair735,a9708
c4,chair736,a8095
c1,chair737,a5117
c119,chair738,a8379
c46,chair739,a5635
c55,chair740,a7437
c28,chair741,a4932
c84,chair742,a2557
c61,chair743,a1104
c106,chair744,a9195
c89,chair745,a9910
c72,chair746,a10481
c117,chair747,a9132
c84,chair748,a6251
c90,chair749,a5190
c92,chair750,a9703
c119,chair751,a8751
c11,chair752,a7177
c13,chair753,a484
c8,chair754,a7176
c46,chair755,a2879
c103,chair756,a7401
c66,chair757,a7642
c58,chair758,a1571
c54,chair759,a5147
c39,chair760,a4272
c3,chair761,a9152
c22,chair762,a3606
c3,chair763,a6638
c95,chair764,a7738
c16,chair765,a10329
c97,chair766,a7246
c9,chair767,a2695
c80,chair768,a7573
c91,chair769,a9948
c51,chair770,a7693
c69,chair771,a1870
c89,chair772,a4419
c69,chair773,a5140
c24,chair774,a10293
c87,chair775,a8722
c121,chair776,a126
c95,chair777,a4091
c30,chair778,a9497
c92,chair779,a8289
c92,chair780,a4877
c19,chair781,a123
c107,chair782,a237
c93,chair783,a5944
c48,chair784,a2604
c27,chair785,a51
c110,chair786,a2525
c65,chair787,a2602
c76,chair788,a6530
c62,chair789,a9196
c87,chair790,a7074
c3,chair791,a6385
c106,chair792,a782
c104,chair793,a8567
c84,chair794,a3610
c49,chair795,a9190
c100,chair796,a5826
c94,chair797,a2529
c24,chair798,a7330
c8,chair799,a3919
c68,chair800,a3256
c69,chair801,a4263
c93,chair802,a839
c95,chair803,a2183
c19,chair804,a847
c95,chair805,a727
c3,chair806,a10432
c109,chair807,a213
c77,chair808,a9336
c75,chair809,a701
c68,chair810,a9884
c16,chair811,a8840
c9,chair812,a2509
c84,chair813,a8088
c50,chair814,a683
c58,chair815,a5395
c11,chair816,a5864
c109,chair817,a8566
c121,chair818,a393
c26,chair819,a5161
c120,chair820,a10089
c1,chair821,a1664
c58,chair822,a7152
c22,chair823,a7265
c85,chair824,a774
c21,chair825,a2890
c46,chair826,a1976
c49,chair827,a7701
c80,chair828,a3531
c26,chair829,a5680
c31,chair830,a1280
c42,chair831,a3707
c96,chair832,a8410
c97,chair833,a2908
c38,chair834,a10407
c75,chair835,a111
c33,chair836,a5723
c19,chair837,a3367
c7,chair838,a8532
c98,chair839,a3901
c62,chair840,a8635
c53,chair841,a7490
c45,chair842,a7322
c43,chair843,a834
c0,chair844,a10117
c99,chair845,a10516
c41,chair846,a5448
c86,chair847,a8307
c37,chair848,a6747
c64,chair849,a530
c114,chair850,a401
c99,chair851,a6056
c89,chair852,a413
c112,chair853,a2095
c75,chair854,a5811
c6,chair855,a4541
c52,chair856,a3873
c91,chair857,a5814
c36,chair858,a2505
c58,chair859,a1045
c21,chair860,a8099
c111,chair861,a6693
c105,chair862,a460
c69,chair863,a6523
c14,chair864,a617
c114,chair865,a676
c107,chair866,a2727
c53,chair867,a4456
c54,chair868,a6211
c11,chair869,a6778
c15,chair870,a6337
c59,chair871,a5092
c20,chair872,a8972
c112,chair873,a10019
c101,chair874,a4841
c9,chair875,a3623
c104,chair876,a8036
c48,chair877,a5545
c68,chair878,a472
c100,chair879,a908
c10,chair880,a7070
c0,chair881,a4036
c66,chair882,a10507
c105,chair883,a8661
c92,chair884,a10030
c70,chair885,a1917
c33,chair886,a1668
c73,chair887,a3185
c61,chair888,a29
c115,chair889,a99
c110,chair890,a623
c10,chair891,a9492
c53,chair892,a8962
c120,chair893,a8769
c14,chair894,a3466
c96,chair895,a3851
c52,chair896,a10037
c108,chair897,a10514
c61,chair898,a2502
c104,chair899,a8063
c28,chair900,a1800
c50,chair901,a6101
c114,chair902,a10137
c2,chair903,a8365
c56,chair904,a7018
c58,chair905,a3435
c101,chair906,a7113
c81,chair907,a3262
c72,chair908,a5400
c91,chair909,a6667
c63,chair910,a9536
c89,chair911,a2145
c53,chair912,a6199
c38,chair913,a9020
c71,chair914,a9706
c84,chair915,a6931
c19,chair916,a6475
c57,chair917,a7094
c21,chair918,a8723
c29,chair919,a6037
c60,chair920,a5421
c63,chair921,a3007
c73,chair922,a4537
c59,chair923,a1124
c51,chair924,a6087
c38,chair925,a250
c95,chair926,a5535
c70,chair927,a3471
c116,chair928,a9126
c57,chair929,a4609
c76,chair930,a10535
c97,chair931,a3258
c2,chair932,a3617
c64,chair933,a4999
c69,chair934,a10272
c47,chair935,a4358
c80,chair936,a5427
c90,chair937,a2177
c104,chair938,a147
c59,chair939,a8139
c38,chair940,a6128
c23,chair941,a3548
c30,chair942,a5195
c28,chair943,a1739
c47,chair944,a5998
c77,chair945,a10388
c20,chair946,a4294
c67,chair947,a9868
c99,chair948,a8329
c106,chair949,a2912
c3,chair950,a481
c69,chair951,a2196
c72,chair952,a5769
c102,chair953,a10481
c106,chair954,a6333
c102,chair955,a475
c109,chair956,a5197
c4,chair957,a1515
c7,chair958,a8562
c21,chair959,a3449
c53,chair960,a8239
c97,chair961,a6869
c102,chair962,a3773
c39,chair963,a110
c21,chair964,a3567
c98,chair965,a5422
c25,chair966,a9192
c3,chair967,a8290
c21,chair968,a4333
c59,chair969,a4364
c40,chair970,a4907
c5,chair971,a3875
c103,chair972,a474
c64,chair973,a6459
c31,chair974,a4921
c4,chair975,a1614
c2,chair976,a3897
c18,chair977,a5474
c86,chair978,a9675
c62,chair979,a1327
c58,chair980,a9382
c98,chair981,a2901
c45,chair982,a10021
c104,chair983,a8758
c105,chair984,a7670
c2,chair985,a6812
c53,chair986,a2982
c80,chair987,a7121
c87,chair988,a8057
c45,chair989,a4172
c33,chair990,a3734
c2,chair991,a8446
c19,chair992,a106
c32,chair993,a4214
c5,chair994,a9311
c18,chair995,a8824
c83,chair996,a3379
c87,chair997,a438
c85,chair998,a2188
c114,chair999,a764
c30,chair1000,a8677
c14,chair1001,a3459
c65,chair1002,a6486
c91,chair1003,a6297
c119,chair1004,a4907
c60,chair1005,a7005
c99,chair1006,a2682
c98,chair1007,a2299
c37,chair1008,a9171
c44,chair1009,a6319
c106,chair1010,a9723
c40,chair1011,a900
c70,chair1012,a7053
c54,chair1013,a3109
c99,chair1014,a7646
c110,chair1015,a1524
c89,chair1016,a7689
c42,chair1017,a7881
c76,chair1018,a9993
c104,chair1019,a9045
c37,chair1020,a8400
c54,chair1021,a9229
c7,chair1022,a1057
c13,chair1023,a1497
c61,chair1024,a6014
c85,chair1025,a2887
c92,chair1026,a9095
c91,chair1027,a8010
c46,chair1028,a3306
c62,chair1029,a6872
c92,chair1030,a2558
c55,chair1031,a415
c60,chair1032,a5520
c45,chair1033,a10119
c8,chair1034,a5771
c20,chair1035,a5362
c107,chair1036,a3933
c74,chair1037,a4081
c24,chair1038,a2581
c70,chair1039,a10467
c96,chair1040,a8545
c41,chair1041,a2588
c36,chair1042,a7318
c25,chair1043,a5956
c108,chair1044,a6026
c0,chair1045,a3334
c93,chair1046,a3857
c74,chair1047,a9154
c54,chair1048,a7698
c92,chair1049,a2016
c98,chair1050,a956
c5,chair1051,a7674
c97,chair1052,a8805
c93,chair1053,a9277
c109,chair1054,a3555
c21,chair1055,a6018
c20,chair1056,a1539
c101,chair1057,a9052
c61,chair1058,a4590
c46,chair1059,a7408
c50,chair1060,a9621
c15,chair1061,a8452
c49,chair1062,a5815
c31,chair1063,a1238
c101,chair1064,a6411
c25,chair1065,a1891
c115,chair1066,a266
c120,chair1067,a5576
c73,chair1068,a5207
c108,chair1069,a3500
c9,chair1070,a407
c62,chair1071,a8069
c104,chair1072,a9494
c112,chair1073,a10329
c6,chair1074,a3802
c70,chair1075,a8307
c107,chair1076,a4286
c117,chair1077,a8049
c32,chair1078,a683
c62,chair1079,a2442
c10,chair1080,a4865
c99,chair1081,a4221
c95,chair1082,a900
c116,chair1083,a4336
c84,chair1084,a9621
c78,chair1085,a6014
c89,chair1086,a6216
c110,chair1087,a634
c11,chair1088,a4651
c31,chair1089,a5312
c110,chair1090,a6677
c82,chair1091,a4333
c22,chair1092,a7381
c21,chair1093,a4924
c57,chair1094,a3977
c51,chair1095,a9380
c114,chair1096,a5016
c111,chair1097,a2397
c90,chair1098,a4731
c71,chair1099,a9914
c24,chair1100,a5810
c87,chair1101,a4733
c54,chair1102,a9805
c89,chair1103,a1761
c29,chair1104,a9006
c55,chair1105,a1247
c52,chair1106,a6381
c24,chair1107,a5935
c29,chair1108,a6021
c92,chair1109,a5359
c89,chair1110,a5451
c81,chair1111,a4060
c109,chair1112,a1754
c106,chair1113,a6866
c46,chair1114,a6863
c61,chair1115,a8862
c112,chair1116,a7589
c107,chair1117,a5741
c91,chair1118,a6364
c102,chair1119,a8315
c16,chair1120,a2448
c96,chair1121,a2418
c118,chair1122,a4112
c103,chair1123,a1569
c25,chair1124,a2398
c102,chair1125,a5872
c73,chair1126,a1195
c84,chair1127,a7744
c108,chair1128,a9309
c94,chair1129,a5393
c6,chair1130,a4126
c93,chair1131,a5656
c113,chair1132,a9334
c87,chair1133,a3017
c66,chair1134,a1742
c89,chair1135,a607
c101,chair1136,a7311
c23,chair1137,a6922
c24,chair1138,a1547
c10,chair1139,a10444
c92,chair1140,a318
c114,chair1141,a2719
c50,chair1142,a175
c81,chair1143,a7235
c87,chair1144,a5712
c69,chair1145,a8490
c0,chair1146,a5864
c4,chair1147,a7250
c77,chair1148,a4705
c64,chair1149,a9396
c117,chair1150,a1596
c29,chair1151,a5175
c101,chair1152,a10374
c115,chair1153,a8043
c88,chair1154,a7625
c91,chair1155,a6450
c115,chair1156,a1033
c72,chair1157,a6430
c111,chair1158,a495
c118,chair1159,a251
c102,chair1160,a10007
c41,chair1161,a6258
c40,chair1162,a3633
c110,chair1163,a8450
c62,chair1164,a9656
c113,chair1165,a1919
c117,chair1166,a9736
c74,chair1167,a1601
c120,chair1168,a9973
c118,chair1169,a3169
c80,chair1170,a2776
c22,chair1171,a5818
c102,chair1172,a4688
c102,chair1173,a8129
c60,chair1174,a437
c115,chair1175,a246
c31,chair1176,a9993
c48,chair1177,a8108
c51,chair1178,a8233
c59,chair1179,a5471
c65,chair1180,a5922
c13,chair1181,a8653
c53,chair1182,a2951
c77,chair1183,a5609
c66,chair1184,a5273
c111,chair1185,a2889
c93,chair1186,a9550
c11,chair1187,a2126
c31,chair1188,a2795
c7,chair1189,a10278
c13,chair1190,a371
c92,chair1191,a5550
c102,chair1192,a1990
c8,chair1193,a9327
c116,chair1194,a1287
c34,chair1195,a4459
c31,chair1196,a7945
c35,chair1197,a9110
c117,chair1198,a2618
c92,chair1199,a6616
c89,chair1200,a6471
c43,chair1201,a7020
c118,chair1202,a4135
c96,chair1203,a5338
c36,chair1204,a8127
c68,chair1205,a805
c47,chair1206,a787
c104,chair1207,a7848
c117,chair1208,a8576
c17,chair1209,a9280
c44,chair1210,a1876
c98,chair1211,a9174
c113,chair1212,a850
c72,chair1213,a4518
c81,chair1214,a8300
c101,chair1215,a4254
c108,chair1216,a7264
c116,chair1217,a10295
c104,chair1218,a626
c16,chair1219,a7755
c89,chair1220,a256
c9,chair1221,a456
c118,chair1222,a10491
c1,chair1223,a3751
c96,chair1224,a3121
c98,chair1225,a6120
c57,chair1226,a4748
c82,chair1227,a4978
c15,chair1228,a9129
c117,chair1229,a9118
c51,chair1230,a6904
c78,chair1231,a4888
c79,chair1232,a353
c2,chair1233,a1285
c20,chair1234,a4137
c76,chair1235,a8671
c17,chair1236,a9909
c52,chair1237,a9301
c30,chair1238,a9175
c60,chair1239,a432
c59,chair1240,a9664
c8,chair1241,a4674
c21,chair1242,a9964
c10,chair1243,a1260
c43,chair1244,a3601
c83,chair1245,a9255
c84,chair1246,a9885
c34,chair1247,a2284
c98,chair1248,a1011
c19,chair1249,a8830
c81,chair1250,a7980
c110,chair1251,a5831
c113,chair1252,a428
c7,chair1253,a1828
c56,chair1254,a4114
c89,chair1255,a7967
c94,chair1256,a5179
